word,synset,definition,synonyms
Poke,poke.v.03,stir by poking,N/A
Annoy,annoy.v.01,"cause annoyance in; disturb, especially by minor irritations","rag, get_to, bother, get_at, irritate, rile, nark, nettle, gravel, vex, chafe, devil"
Joke,joke.n.01,a humorous anecdote or remark intended to provoke laughter,"gag, laugh, jest, jape"
Playful,playful.a.01,full of fun and high spirits,N/A
Laugh,laugh.n.01,the sound of laughing,laughter
Fun,fun.n.01,activities that are enjoyable or amusing,"merriment, playfulness"
Tease,tease.n.03,the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances,"teasing, ribbing, tantalization"
Bother,fuss.n.02,an angry disturbance,"fuss, trouble, hassle"
Tickle,tickle.n.01,a cutaneous sensation often resulting from light stroking,N/A
Funny,funny_story.n.01,an account of an amusing incident (usually with a punch line),"funny_story, good_story, funny_remark"
Messing_around,N/A,N/A,N/A
Play,turn.n.03,(game) the activity of doing something in an agreed succession,turn
Mock,mock.n.01,the act of mocking or ridiculing,N/A
Banter,banter.n.01,light teasing repartee,"raillery, give-and-take, backchat"
Sarcasm,sarcasm.n.01,witty language used to convey insults or scorn; ; ; --Jonathan Swift,"irony, satire, caustic_remark"
Giggle,giggle.n.01,a foolish or nervous laugh,N/A
Silly,silly.n.01,a word used for misbehaving children,N/A
Make_me_laugh,N/A,N/A,N/A
Revenge,retaliation.n.01,action taken in return for an injury or offense,retaliation
Ticklish,delicate.s.05,difficult to handle; requiring great tact,"delicate, touchy"
Make_fun,ridicule.v.01,subject to laughter or ridicule,"ridicule, roast, guy, blackguard, laugh_at, jest_at, rib, poke_fun"
Nose,nose.n.01,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,olfactory_organ
Making,devising.n.01,the act that results in something coming to be,"devising, fashioning"
Gently,gently.r.02,in a gentle manner,mildly
Around,about.r.03,in the area or vicinity,about
