response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,strager boundary concern,False,0.0,0,0,0,,,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,strager boundary concern,False,0.75,0,1,0,,touch,
3,My girlfriend is touching my neck,strager boundary concern,False,0.75,0,1,0,,touch,
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",strager boundary concern,False,0.75,0,1,0,,touch,
5,making fun,strager boundary concern,False,0.0,0,0,0,,,
6,we are talking and my partner is massaging my hand,strager boundary concern,False,0.0,0,0,0,,,
7,we are watching TV,strager boundary concern,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,strager boundary concern,True,7.5,6,2,0,"creepy, flirt, man, stranger, trying, weird","flirt, try",
9,we are sleeping,strager boundary concern,False,0.0,0,0,0,,,
10,my mother is touching my back,strager boundary concern,False,0.75,0,1,0,,touch,
11,doctor is checking for muscle tenderness,strager boundary concern,False,0.0,0,0,0,,,
12,"We're in class, being bored during a Philosophy lesson",strager boundary concern,False,0.0,0,0,0,,,
13,my child is trying to get my attention,strager boundary concern,True,2.75,2,1,0,"attention, trying",try,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,strager boundary concern,True,1.75,1,1,0,trying,try,
15,My daughter is rubbing my arm with her finder,strager boundary concern,True,1.0,1,0,0,rub,,
16,My mom is cleaning something of my face,strager boundary concern,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",strager boundary concern,False,0.0,0,0,0,,,
18,Sat on the couch watching tv,strager boundary concern,False,0.0,0,0,0,,,
19,We are watching movie and im begin touched pretty same as on video but maybe slower,strager boundary concern,True,1.75,1,1,0,touched,touch,
20,They are trying to get my attention,strager boundary concern,True,2.75,2,1,0,"attention, trying",try,
21,He is trying to get my attention,strager boundary concern,True,2.75,2,1,0,"attention, trying",try,
22,Playing pretend doctors and nurses,strager boundary concern,False,0.0,0,0,0,,,
23,The person is touching me to get my attention,strager boundary concern,True,1.75,1,1,0,attention,touch,
24,They are applying pressure to my arm while rubbing up and down,strager boundary concern,True,1.0,1,0,0,rub,,
25,We are sitting on the couch watching a movie,strager boundary concern,False,0.0,0,0,0,,,
