word,synset,definition,synonyms,closest_words,closest_words_with_distances
Poke,poke.v.03,stir by poking,N/A,"agitate, beat, toss, roil, tumble, whisk, cream, muddle, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear","agitate (0.200), beat (0.333), toss (0.333), roil (0.333), tumble (0.429), whisk (0.429), cream (0.429), muddle (0.429), entity (0.667), breathe (0.667), act (0.667), be active (0.667), oversleep (0.667), nod (0.667), fall asleep (0.667), go to bed (0.667), get up (0.667), wake (0.667), keep up (0.667), wear (0.667)"
Annoy,annoy.v.01,"cause annoyance in; disturb, especially by minor irritations","rag, get_to, bother, get_at, irritate, rile, nark, nettle, gravel, vex, chafe, devil","get, eat into, peeve, ruffle, fret, harass, antagonize, needle, torment, haze, madden, hamstring, tease, persecute, purge, entity, breathe, act, be active, oversleep","get (0.200), eat into (0.200), peeve (0.200), ruffle (0.200), fret (0.200), harass (0.200), antagonize (0.200), needle (0.333), torment (0.333), haze (0.333), madden (0.429), hamstring (0.429), tease (0.429), persecute (0.429), purge (0.500), entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600)"
Joke,joke.n.01,a humorous anecdote or remark intended to provoke laughter,"gag, laugh, jest, jape","belly laugh, dirty joke, ethnic joke, funny story, in-joke, one-liner, shaggy dog story, sick joke, sight gag, wit, jeu d'esprit, bon mot, esprit de l'escalier, pungency, sarcasm, repartee, caricature, cartoon, fun, ribaldry","belly laugh (0.077), dirty joke (0.077), ethnic joke (0.077), funny story (0.077), in-joke (0.077), one-liner (0.077), shaggy dog story (0.077), sick joke (0.077), sight gag (0.077), wit (0.091), jeu d'esprit (0.167), bon mot (0.167), esprit de l'escalier (0.167), pungency (0.167), sarcasm (0.167), repartee (0.167), caricature (0.167), cartoon (0.167), fun (0.167), ribaldry (0.167)"
Playful,playful.a.01,full of fun and high spirits,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Laugh,laugh.n.01,the sound of laughing,laughter,"cachinnation, cackle, chortle, giggle, guffaw, hee-haw, snicker, titter, utterance, roll call, cry, cry, croak, exclamation, expletive, groan, hem, howl, mumble, paging","cachinnation (0.077), cackle (0.077), chortle (0.077), giggle (0.077), guffaw (0.077), hee-haw (0.077), snicker (0.077), titter (0.077), utterance (0.091), roll call (0.167), cry (0.167), cry (0.167), croak (0.167), exclamation (0.167), expletive (0.167), groan (0.167), hem (0.167), howl (0.167), mumble (0.167), paging (0.167)"
Fun,fun.n.01,activities that are enjoyable or amusing,"merriment, playfulness","diversion, antic, bathing, celebration, dancing, entertainment, escapade, escape, eurythmy, gambling, game, jest, nightlife, pastime, play, play, sport, activity, agon, funambulism","diversion (0.067), antic (0.125), bathing (0.125), celebration (0.125), dancing (0.125), entertainment (0.125), escapade (0.125), escape (0.125), eurythmy (0.125), gambling (0.125), game (0.125), jest (0.125), nightlife (0.125), pastime (0.125), play (0.125), play (0.125), sport (0.125), activity (0.143), agon (0.176), funambulism (0.176)"
Tease,tease.n.03,the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances,"teasing, ribbing, tantalization","harassment, baiting, badgering, sexual harassment, witch-hunt, mistreatment, McCarthyism, annoyance, disregard, exploitation, maltreatment, practice, despite, blaxploitation, sexploitation, child abuse, child neglect, persecution, cruelty, exasperation","harassment (0.053), baiting (0.100), badgering (0.100), sexual harassment (0.100), witch-hunt (0.100), mistreatment (0.111), McCarthyism (0.143), annoyance (0.158), disregard (0.158), exploitation (0.158), maltreatment (0.158), practice (0.176), despite (0.200), blaxploitation (0.200), sexploitation (0.200), child abuse (0.200), child neglect (0.200), persecution (0.200), cruelty (0.200), exasperation (0.200)"
Bother,fuss.n.02,an angry disturbance,"fuss, trouble, hassle","perturbation, magnetic storm, activity, variation, space walk, domesticity, operation, operation, practice, diversion, cup of tea, follow-up, game, turn, music, acting, liveliness, burst, work, works","perturbation (0.067), magnetic storm (0.125), activity (0.143), variation (0.200), space walk (0.200), domesticity (0.200), operation (0.200), operation (0.200), practice (0.200), diversion (0.200), cup of tea (0.200), follow-up (0.200), game (0.200), turn (0.200), music (0.200), acting (0.200), liveliness (0.200), burst (0.200), work (0.200), works (0.200)"
Tickle,tickle.n.01,a cutaneous sensation often resulting from light stroking,N/A,"cutaneous sensation, itch, topognosia, urtication, touch, pruritus, creepiness, perception, pruritus ani, pruritus vulvae, constancy, detection, visual perception, auditory perception, sensation, somesthesia, basic cognitive process, brightness constancy, color constancy, shape constancy","cutaneous sensation (0.053), itch (0.100), topognosia (0.100), urtication (0.100), touch (0.111), pruritus (0.143), creepiness (0.158), perception (0.176), pruritus ani (0.182), pruritus vulvae (0.182), constancy (0.222), detection (0.222), visual perception (0.222), auditory perception (0.222), sensation (0.222), somesthesia (0.222), basic cognitive process (0.250), brightness constancy (0.263), color constancy (0.263), shape constancy (0.263)"
Funny,funny_story.n.01,an account of an amusing incident (usually with a punch line),"funny_story, good_story, funny_remark","joke, belly laugh, dirty joke, ethnic joke, in-joke, one-liner, shaggy dog story, sick joke, sight gag, wit, jeu d'esprit, bon mot, esprit de l'escalier, pungency, sarcasm, repartee, caricature, cartoon, fun, ribaldry","joke (0.077), belly laugh (0.143), dirty joke (0.143), ethnic joke (0.143), in-joke (0.143), one-liner (0.143), shaggy dog story (0.143), sick joke (0.143), sight gag (0.143), wit (0.167), jeu d'esprit (0.231), bon mot (0.231), esprit de l'escalier (0.231), pungency (0.231), sarcasm (0.231), repartee (0.231), caricature (0.231), cartoon (0.231), fun (0.231), ribaldry (0.231)"
Messing_around,N/A,N/A,N/A,N/A,N/A
Play,turn.n.03,(game) the activity of doing something in an agreed succession,turn,"move, start, innings, attack, down, bat, lead, ruff, trick, activity, chess move, follow-on, counterattack, variation, space walk, domesticity, operation, operation, practice, diversion","move (0.067), start (0.067), innings (0.067), attack (0.067), down (0.067), bat (0.067), lead (0.067), ruff (0.067), trick (0.067), activity (0.077), chess move (0.125), follow-on (0.125), counterattack (0.125), variation (0.143), space walk (0.143), domesticity (0.143), operation (0.143), operation (0.143), practice (0.143), diversion (0.143)"
Mock,mock.n.01,the act of mocking or ridiculing,N/A,"derision, discourtesy, indelicacy, insolence, insult, presumption, rebuff, behavior, indignity, scandalization, snub, silent treatment, aggression, bohemianism, dirty pool, dirty tricks, easiness, the way of the world, activity, aggravation","derision (0.053), discourtesy (0.111), indelicacy (0.158), insolence (0.158), insult (0.158), presumption (0.158), rebuff (0.158), behavior (0.176), indignity (0.200), scandalization (0.200), snub (0.200), silent treatment (0.200), aggression (0.222), bohemianism (0.222), dirty pool (0.222), dirty tricks (0.222), easiness (0.222), the way of the world (0.222), activity (0.250), aggravation (0.263)"
Banter,banter.n.01,light teasing repartee,"raillery, give-and-take, backchat","badinage, persiflage, repartee, wit, jeu d'esprit, bon mot, esprit de l'escalier, pungency, sarcasm, joke, caricature, cartoon, fun, ribaldry, topper, message, mock-heroic, belly laugh, dirty joke, ethnic joke","badinage (0.067), persiflage (0.067), repartee (0.077), wit (0.167), jeu d'esprit (0.231), bon mot (0.231), esprit de l'escalier (0.231), pungency (0.231), sarcasm (0.231), joke (0.231), caricature (0.231), cartoon (0.231), fun (0.231), ribaldry (0.231), topper (0.231), message (0.273), mock-heroic (0.286), belly laugh (0.286), dirty joke (0.286), ethnic joke (0.286)"
Sarcasm,sarcasm.n.01,witty language used to convey insults or scorn; ; ; --Jonathan Swift,"irony, satire, caustic_remark","wit, jeu d'esprit, bon mot, esprit de l'escalier, pungency, repartee, joke, caricature, cartoon, fun, ribaldry, topper, message, mock-heroic, banter, belly laugh, dirty joke, ethnic joke, funny story, in-joke","wit (0.091), jeu d'esprit (0.167), bon mot (0.167), esprit de l'escalier (0.167), pungency (0.167), repartee (0.167), joke (0.167), caricature (0.167), cartoon (0.167), fun (0.167), ribaldry (0.167), topper (0.167), message (0.200), mock-heroic (0.231), banter (0.231), belly laugh (0.231), dirty joke (0.231), ethnic joke (0.231), funny story (0.231), in-joke (0.231)"
Giggle,giggle.n.01,a foolish or nervous laugh,N/A,"laugh, cachinnation, cackle, chortle, guffaw, hee-haw, snicker, titter, utterance, roll call, cry, cry, croak, exclamation, expletive, groan, hem, howl, mumble, paging","laugh (0.077), cachinnation (0.143), cackle (0.143), chortle (0.143), guffaw (0.143), hee-haw (0.143), snicker (0.143), titter (0.143), utterance (0.167), roll call (0.231), cry (0.231), cry (0.231), croak (0.231), exclamation (0.231), expletive (0.231), groan (0.231), hem (0.231), howl (0.231), mumble (0.231), paging (0.231)"
Silly,silly.n.01,a word used for misbehaving children,N/A,"child, bairn, buster, changeling, child prodigy, foster-child, imp, kiddy, orphan, peanut, pickaninny, poster child, preschooler, sprog, toddler, urchin, waif, foster-daughter, foster-son, poster boy","child (0.053), bairn (0.100), buster (0.100), changeling (0.100), child prodigy (0.100), foster-child (0.100), imp (0.100), kiddy (0.100), orphan (0.100), peanut (0.100), pickaninny (0.100), poster child (0.100), preschooler (0.100), sprog (0.100), toddler (0.100), urchin (0.100), waif (0.100), foster-daughter (0.143), foster-son (0.143), poster boy (0.143)"
Make_me_laugh,N/A,N/A,N/A,N/A,N/A
Revenge,retaliation.n.01,action taken in return for an injury or offense,retaliation,"vengeance, reprisal, return, requital, reciprocation, tit for tat, act, event, action, acquiring, causing, delivery, departure, discovery, disposal, implementation, egress, equalization, exhumation, mitzvah","vengeance (0.059), reprisal (0.059), return (0.067), requital (0.125), reciprocation (0.125), tit for tat (0.125), act (0.231), event (0.273), action (0.286), acquiring (0.286), causing (0.286), delivery (0.286), departure (0.286), discovery (0.286), disposal (0.286), implementation (0.286), egress (0.286), equalization (0.286), exhumation (0.286), mitzvah (0.286)"
Ticklish,delicate.s.05,difficult to handle; requiring great tact,"delicate, touchy","entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Make_fun,ridicule.v.01,subject to laughter or ridicule,"ridicule, roast, guy, blackguard, laugh_at, jest_at, rib, poke_fun","tease, satirize, debunk, stultify, mock, unmask, tease, deride, treat, jeer, kid, catcall, ignore, wrong, handle with kid gloves, criminalize, nurse, strong-arm, ride roughshod, upstage","tease (0.091), satirize (0.091), debunk (0.091), stultify (0.091), mock (0.111), unmask (0.167), tease (0.200), deride (0.200), treat (0.250), jeer (0.273), kid (0.273), catcall (0.273), ignore (0.333), wrong (0.333), handle with kid gloves (0.333), criminalize (0.333), nurse (0.333), strong-arm (0.333), ride roughshod (0.333), upstage (0.333)"
Nose,nose.n.01,the organ of smell and entrance to the respiratory tract; the prominent part of the face of man or other mammals,olfactory_organ,"snout, snout, beak, conk, hawk nose, proboscis, pug nose, Roman nose, chemoreceptor, proboscis, tastebud, carotid body, sense organ, lateral line, interoceptor, exteroceptor, third eye, baroreceptor, thermoreceptor, eye","snout (0.053), snout (0.053), beak (0.053), conk (0.053), hawk nose (0.053), proboscis (0.053), pug nose (0.053), Roman nose (0.053), chemoreceptor (0.059), proboscis (0.100), tastebud (0.111), carotid body (0.111), sense organ (0.125), lateral line (0.176), interoceptor (0.176), exteroceptor (0.176), third eye (0.176), baroreceptor (0.176), thermoreceptor (0.176), eye (0.176)"
Making,devising.n.01,the act that results in something coming to be,"devising, fashioning","mapmaking, moviemaking, production, rainmaking, foliation, canalization, growing, steel production, act, Bessemer process, epitaxy, open-hearth process, action, acquiring, causing, delivery, departure, discovery, disposal, implementation","mapmaking (0.067), moviemaking (0.067), production (0.077), rainmaking (0.143), foliation (0.143), canalization (0.143), growing (0.143), steel production (0.143), act (0.167), Bessemer process (0.200), epitaxy (0.200), open-hearth process (0.200), action (0.231), acquiring (0.231), causing (0.231), delivery (0.231), departure (0.231), discovery (0.231), disposal (0.231), implementation (0.231)"
Gently,gently.r.02,in a gentle manner,mildly,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Around,about.r.03,in the area or vicinity,about,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
