response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,Leisure at home,True,1.75,1,1,0,cuddling,cuddle,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,Leisure at home,True,9.25,5,3,4,"couch, living room, movie, sitting, watching","couch, sit, watch","couch, headset, room, watch"
3,My girlfriend is touching my neck,Leisure at home,False,0.0,0,0,0,,,
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",Leisure at home,False,0.0,0,0,0,,,
5,making fun,Leisure at home,False,0.5,0,0,1,,,fun
6,we are talking and my partner is massaging my hand,Leisure at home,False,0.0,0,0,0,,,
7,we are watching TV,Leisure at home,True,3.25,2,1,1,"tv, watching",watch,watch
8,The stranger (a man) is trying to flirt but being weird and creepy,Leisure at home,False,0.0,0,0,0,,,
9,we are sleeping,Leisure at home,False,0.0,0,0,0,,,
10,my mother is touching my back,Leisure at home,False,0.5,0,0,1,,,back
11,doctor is checking for muscle tenderness,Leisure at home,False,0.0,0,0,0,,,
12,"We're in class, being bored during a Philosophy lesson",Leisure at home,False,0.0,0,0,0,,,
13,my child is trying to get my attention,Leisure at home,False,0.0,0,0,0,,,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,Leisure at home,False,0.75,0,1,0,,bite,
15,My daughter is rubbing my arm with her finder,Leisure at home,False,0.0,0,0,0,,,
16,My mom is cleaning something of my face,Leisure at home,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",Leisure at home,False,0.75,0,1,0,,even,
18,Sat on the couch watching tv,Leisure at home,True,6.25,3,3,2,"couch, tv, watching","couch, sit, watch","couch, watch"
19,We are watching movie and im begin touched pretty same as on video but maybe slower,Leisure at home,True,3.25,2,1,1,"movie, watching",watch,watch
20,They are trying to get my attention,Leisure at home,False,0.0,0,0,0,,,
21,He is trying to get my attention,Leisure at home,False,0.0,0,0,0,,,
22,Playing pretend doctors and nurses,Leisure at home,False,0.0,0,0,0,,,
23,The person is touching me to get my attention,Leisure at home,False,0.0,0,0,0,,,
24,They are applying pressure to my arm while rubbing up and down,Leisure at home,False,0.0,0,0,0,,,
25,We are sitting on the couch watching a movie,Leisure at home,True,7.25,4,3,2,"couch, movie, sitting, watching","couch, sit, watch","couch, watch"
26,"The music is loud, we are dancing and singing",Leisure at home,False,0.0,0,0,0,,,
27,daughter wants to ask for something,Leisure at home,False,0.0,0,0,0,,,
28,My romantic partner touches my arm exactly as shown in the video at her/my home,Leisure at home,True,1.5,1,0,1,show,,show
29,watching some video on tv or a film on netflix.,Leisure at home,True,5.0,3,2,1,"netflix, tv, watching","film, watch",watch
30,My arm is being gently rubbed,Leisure at home,False,0.0,0,0,0,,,
31,"I'm sleeping or dozing, not paying attention",Leisure at home,False,0.0,0,0,0,,,
32,playing with a kid,Leisure at home,False,0.0,0,0,0,,,
33,A doctor is conducting a check-up,Leisure at home,False,0.0,0,0,0,,,
34,we're spending our break time in leisure together,Leisure at home,False,0.5,0,0,1,,,time
35,She's trying to tease me to do something else.,Leisure at home,False,0.0,0,0,0,,,
36,The girlfriend is scrubbing or rubbing my chest in a romantic way,Leisure at home,False,0.0,0,0,0,,,
37,I was going for a regular check-up and to get my vitals checked.,Leisure at home,False,0.0,0,0,0,,,
