word,synset,definition,synonyms,closest_words,closest_words_with_distances
touching,touch.n.01,the event of something coming in contact with the body,touch,"brush, stroke, contact, collision, engagement, flick, impact, happening, blow, slam, accompaniment, avalanche, experience, trouble, treat, miracle, wonder, thing, episode, eventuality","brush (0.067), stroke (0.067), contact (0.077), collision (0.143), engagement (0.143), flick (0.143), impact (0.143), happening (0.167), blow (0.200), slam (0.200), accompaniment (0.231), avalanche (0.231), experience (0.231), trouble (0.231), treat (0.231), miracle (0.231), wonder (0.231), thing (0.231), episode (0.231), eventuality (0.231)"
watching,observation.n.02,the act of observing; taking a patient look,"observation, observance","monitoring, sighting, stargazing, look, landfall, glance, scrutiny, peek, squint, stare, evil eye, sightseeing, lookout, view, dekko, sensing, eye-beaming, side-glance, gaze, glare","monitoring (0.048), sighting (0.048), stargazing (0.048), look (0.053), landfall (0.091), glance (0.100), scrutiny (0.100), peek (0.100), squint (0.100), stare (0.100), evil eye (0.100), sightseeing (0.100), lookout (0.100), view (0.100), dekko (0.100), sensing (0.111), eye-beaming (0.143), side-glance (0.143), gaze (0.143), glare (0.143)"
trying,try.v.01,make an effort or attempt,"try, seek, attempt, essay, assay","take a dare, fight, have a go, grope, endeavor, give it a whirl, gamble, risk, struggle, tug, flounder, take pains, buck, go for broke, luck it, venture, bell the cat, strive, extend oneself, kill oneself","take a dare (0.200), fight (0.200), have a go (0.200), grope (0.200), endeavor (0.200), give it a whirl (0.200), gamble (0.200), risk (0.200), struggle (0.333), tug (0.333), flounder (0.333), take pains (0.333), buck (0.333), go for broke (0.333), luck it (0.333), venture (0.333), bell the cat (0.333), strive (0.429), extend oneself (0.500), kill oneself (0.500)"
arm,arm.n.01,a human limb; technically the part of the superior limb between the shoulder and the elbow but commonly used to refer to the whole superior limb,N/A,"limb, hind limb, forelimb, flipper, leg, crus, leg, thigh, cubitus, forearm, extremity, prehensor, animal leg, hind leg, foreleg, pin, bowleg, shank's mare, spindlelegs, lap","limb (0.059), hind limb (0.111), forelimb (0.111), flipper (0.111), leg (0.111), crus (0.111), leg (0.111), thigh (0.111), cubitus (0.111), forearm (0.111), extremity (0.125), prehensor (0.158), animal leg (0.158), hind leg (0.158), foreleg (0.158), pin (0.158), bowleg (0.158), shank's mare (0.158), spindlelegs (0.158), lap (0.158)"
attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending,"attentiveness, clock-watching, ear, eye, notice, notice, basic cognitive process, mind, advertence, remark, inattention, intuition, perception, apperception, believing, classification, discrimination, learning, memory, representational process","attentiveness (0.067), clock-watching (0.067), ear (0.067), eye (0.067), notice (0.067), notice (0.067), basic cognitive process (0.077), mind (0.125), advertence (0.125), remark (0.125), inattention (0.143), intuition (0.143), perception (0.143), apperception (0.143), believing (0.143), classification (0.143), discrimination (0.143), learning (0.143), memory (0.143), representational process (0.143)"
touch,touch.n.01,the event of something coming in contact with the body,touching,"brush, stroke, contact, collision, engagement, flick, impact, happening, blow, slam, accompaniment, avalanche, experience, trouble, treat, miracle, wonder, thing, episode, eventuality","brush (0.067), stroke (0.067), contact (0.077), collision (0.143), engagement (0.143), flick (0.143), impact (0.143), happening (0.167), blow (0.200), slam (0.200), accompaniment (0.231), avalanche (0.231), experience (0.231), trouble (0.231), treat (0.231), miracle (0.231), wonder (0.231), thing (0.231), episode (0.231), eventuality (0.231)"
touch,contact.n.08,a communicative interaction,contact,"communication, transmission, intercommunication, medium, channel, mail, dramaturgy, discussion, exhortation, expression, examination, persuasion, dissuasion, expostulation, traffic, act, conveyance, dissemination, ether, air","communication (0.077), transmission (0.143), intercommunication (0.143), medium (0.143), channel (0.143), mail (0.143), dramaturgy (0.143), discussion (0.143), exhortation (0.143), expression (0.143), examination (0.143), persuasion (0.143), dissuasion (0.143), expostulation (0.143), traffic (0.143), act (0.167), conveyance (0.200), dissemination (0.200), ether (0.200), air (0.200)"
touch,touch.v.01,"make physical contact with, come in contact with",N/A,"engage, touch, toe, pick up, strike, finger, feel, palpate, handle, stroke, hit, brush, skim over, hit, strike, snog, kiss, mouth, press, tag","engage (0.333), touch (0.333), toe (0.333), pick up (0.333), strike (0.333), finger (0.333), feel (0.333), palpate (0.333), handle (0.333), stroke (0.333), hit (0.333), brush (0.333), skim over (0.333), hit (0.333), strike (0.333), snog (0.333), kiss (0.333), mouth (0.333), press (0.333), tag (0.333)"
friend,friend.n.01,a person you know well and regard with affection and trust,N/A,"organism, benthos, dwarf, heterotroph, parent, person, animal, plant, native, recombinant, conspecific, carrier, denizen, amphidiploid, diploid, haploid, heteroploid, polyploid, animalcule, microorganism","organism (0.143), benthos (0.200), dwarf (0.200), heterotroph (0.200), parent (0.200), person (0.200), animal (0.200), plant (0.200), native (0.200), recombinant (0.200), conspecific (0.200), carrier (0.200), denizen (0.200), amphidiploid (0.200), diploid (0.200), haploid (0.200), heteroploid (0.200), polyploid (0.200), animalcule (0.200), microorganism (0.200)"
something,N/A,N/A,N/A,N/A,N/A
talking,talk.n.01,an exchange of ideas via conversation,talk,"cant, dialogue, heart-to-heart, shmooze, shop talk, wind, yak, conversation, prate, crossfire, phatic speech, exchange, chat, gossiping, nothings, commerce, colloquy, rap, rap session, second-hand speech","cant (0.067), dialogue (0.067), heart-to-heart (0.067), shmooze (0.067), shop talk (0.067), wind (0.067), yak (0.067), conversation (0.077), prate (0.125), crossfire (0.143), phatic speech (0.143), exchange (0.143), chat (0.143), gossiping (0.143), nothings (0.143), commerce (0.143), colloquy (0.143), rap (0.143), rap session (0.143), second-hand speech (0.143)"
