response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,Leisure at home,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,Leisure at home,True,1.5,1,0,1,show,,show
3,we are talking about our upcoming exams and projects,Leisure at home,False,0.0,0,0,0,,,
4,The friend is comforting me.,Leisure at home,False,0.0,0,0,0,,,
5,We are talking,Leisure at home,False,0.0,0,0,0,,,
6,I am sad and my mom tries to comfort me.,Leisure at home,False,0.0,0,0,0,,,
7,we are having a conversation,Leisure at home,False,0.0,0,0,0,,,
8,we are both sitting in the kitchen table,Leisure at home,True,1.75,1,1,0,sitting,sit,
9,The other person is trying to comfort me.,Leisure at home,False,0.0,0,0,0,,,
10,He touching me,Leisure at home,False,0.0,0,0,0,,,
11,I received some bad news,Leisure at home,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,Leisure at home,False,0.0,0,0,0,,,
13,We are in class and my friend touches me during a lecture to make me laugh,Leisure at home,False,0.0,0,0,0,,,
14,Grounding technique,Leisure at home,False,0.0,0,0,0,,,
15,Wife is putting her hand on my shoulder.,Leisure at home,False,0.0,0,0,0,,,
16,I was walking down the street and my acquaintance way walking  behind my back,Leisure at home,False,0.5,0,0,1,,,back
17,We are sitting and talking. She touched my knee,Leisure at home,True,1.75,1,1,0,sitting,sit,
18,Maybe i'm describing something that worries me,Leisure at home,False,0.0,0,0,0,,,
19,we are sitting in the living room,Leisure at home,True,3.25,2,1,1,"living room, sitting",sit,room
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",Leisure at home,False,0.0,0,0,0,,,
21,I've received news that I did not get the job I wanted.,Leisure at home,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,Leisure at home,False,0.0,0,0,0,,,
23,My friend is comforting me after I just received news of the passing of a loved one.,Leisure at home,False,0.0,0,0,0,,,
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,Leisure at home,False,0.5,0,0,1,,,dress
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,Leisure at home,True,1.0,0,0,2,,,"life, room"
26,We are chilling on the bed,Leisure at home,True,2.0,2,0,0,"bed, chilling",,
27,The person is asking me if everything is okay with my life.,Leisure at home,False,0.5,0,0,1,,,life
28,She is talking to me,Leisure at home,False,0.0,0,0,0,,,
29,"There are many people around us, but he took an interest in me and he is speaking to me in a creepy way",Leisure at home,False,0.5,0,0,1,,,take
30,She's helping me going through some troubles.,Leisure at home,False,0.0,0,0,0,,,
31,I have a problem with the University and I am speaking with my parents,Leisure at home,False,0.0,0,0,0,,,
32,she's reassuring me about a situation.,Leisure at home,False,0.0,0,0,0,,,
33,I'm feeling anxious about incoming deadlines,Leisure at home,False,0.0,0,0,0,,,
34,a hand reaches to gently tap snother person's arm a few times,Leisure at home,True,1.0,0,0,2,,,"time, times"
35,I feel sad,Leisure at home,False,0.0,0,0,0,,,
36,She is touching my forearm after a long heart to heart conversation.,Leisure at home,False,0.0,0,0,0,,,
37,I was unhappy and my mother said to me that all are ok,Leisure at home,False,0.0,0,0,0,,,
38,I am explaining something I find difficult at work,Leisure at home,False,0.0,0,0,0,,,
39,My wife is comforting me after some annoyance,Leisure at home,False,0.0,0,0,0,,,
40,My colleague is trying to touch  me in a way that will lead to sex.,Leisure at home,False,0.0,0,0,0,,,
41,someone is touching me tenderly,Leisure at home,False,0.0,0,0,0,,,
42,having a deep conversation,Leisure at home,False,0.0,0,0,0,,,
43,I have just finished my homework that I was doing next to him while he drinks his coffee.,Leisure at home,False,0.0,0,0,0,,,
44,We could be watching tv and sitting on the couch or lying on the bed,Leisure at home,True,10.0,6,4,2,"bed, couch, lying, sitting, tv, watching","couch, lie, sit, watch","couch, watch"
