response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,Comfort and emotional support,True,1.0,1,0,0,cuddle,,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,Comfort and emotional support,False,0.0,0,0,0,,,
3,My girlfriend is touching my neck,Comfort and emotional support,False,0.0,0,0,0,,,
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",Comfort and emotional support,False,0.0,0,0,0,,,
5,making fun,Comfort and emotional support,False,0.0,0,0,0,,,
6,we are talking and my partner is massaging my hand,Comfort and emotional support,False,0.0,0,0,0,,,
7,we are watching TV,Comfort and emotional support,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,Comfort and emotional support,False,0.0,0,0,0,,,
9,we are sleeping,Comfort and emotional support,False,0.0,0,0,0,,,
10,my mother is touching my back,Comfort and emotional support,False,0.0,0,0,0,,,
11,doctor is checking for muscle tenderness,Comfort and emotional support,False,0.75,0,1,0,,tenderness,
12,"We're in class, being bored during a Philosophy lesson",Comfort and emotional support,False,0.0,0,0,0,,,
13,my child is trying to get my attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,Comfort and emotional support,True,2.75,2,1,0,"calm, stress",uneasy,
15,My daughter is rubbing my arm with her finder,Comfort and emotional support,False,0.0,0,0,0,,,
16,My mom is cleaning something of my face,Comfort and emotional support,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",Comfort and emotional support,False,0.0,0,0,0,,,
18,Sat on the couch watching tv,Comfort and emotional support,False,0.0,0,0,0,,,
19,We are watching movie and im begin touched pretty same as on video but maybe slower,Comfort and emotional support,False,0.0,0,0,0,,,
20,They are trying to get my attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
21,He is trying to get my attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
22,Playing pretend doctors and nurses,Comfort and emotional support,False,0.0,0,0,0,,,
23,The person is touching me to get my attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
24,They are applying pressure to my arm while rubbing up and down,Comfort and emotional support,False,0.0,0,0,0,,,
25,We are sitting on the couch watching a movie,Comfort and emotional support,False,0.0,0,0,0,,,
26,"The music is loud, we are dancing and singing",Comfort and emotional support,False,0.0,0,0,0,,,
27,daughter wants to ask for something,Comfort and emotional support,False,0.0,0,0,0,,,
28,My romantic partner touches my arm exactly as shown in the video at her/my home,Comfort and emotional support,False,0.0,0,0,0,,,
29,watching some video on tv or a film on netflix.,Comfort and emotional support,False,0.0,0,0,0,,,
30,My arm is being gently rubbed,Comfort and emotional support,False,0.0,0,0,0,,,
31,"I'm sleeping or dozing, not paying attention",Comfort and emotional support,False,0.0,0,0,0,,,
32,playing with a kid,Comfort and emotional support,False,0.0,0,0,0,,,
33,A doctor is conducting a check-up,Comfort and emotional support,False,0.0,0,0,0,,,
34,we're spending our break time in leisure together,Comfort and emotional support,False,0.0,0,0,0,,,
35,She's trying to tease me to do something else.,Comfort and emotional support,False,0.0,0,0,0,,,
36,The girlfriend is scrubbing or rubbing my chest in a romantic way,Comfort and emotional support,False,0.0,0,0,0,,,
37,I was going for a regular check-up and to get my vitals checked.,Comfort and emotional support,False,0.0,0,0,0,,,
38,"My son is asking me about something he wants, either a toy or a specific snack",Comfort and emotional support,False,0.0,0,0,0,,,
39,she tries to relax me,Comfort and emotional support,False,0.0,0,0,0,,,
40,being touch with just one finger,Comfort and emotional support,False,0.0,0,0,0,,,
41,They are helping me calm down after I've had an anxiety attack.,Comfort and emotional support,True,2.75,2,1,0,"anxiety, calm",have,
42,kid is just touching while trying to get attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
43,"touching my arm, could be on the current topic being discussed",Comfort and emotional support,False,0.0,0,0,0,,,
44,They are caresing me,Comfort and emotional support,False,0.0,0,0,0,,,
45,Someone is aggressively pressing their finger into my arm,Comfort and emotional support,False,0.0,0,0,0,,,
46,my friend wants to show me a cool trick with human body she just learnt,Comfort and emotional support,False,0.0,0,0,0,,,
47,I am at the computer answering this survey while i am waiting for my lunch.,Comfort and emotional support,False,0.0,0,0,0,,,
48,the stranger and I are talking,Comfort and emotional support,False,0.0,0,0,0,,,
49,having argument,Comfort and emotional support,False,0.75,0,1,0,,have,
50,i'm distracted scrolling through my phone,Comfort and emotional support,False,0.0,0,0,0,,,
51,We are at a playground.,Comfort and emotional support,False,0.0,0,0,0,,,
52,we are having a dinner,Comfort and emotional support,False,0.75,0,1,0,,have,
53,my sister is petting my forearm,Comfort and emotional support,False,0.0,0,0,0,,,
54,"I am napping on the couch, and my partner is waking me up softly",Comfort and emotional support,False,0.0,0,0,0,,,
55,Me and my partner are watching a movie.,Comfort and emotional support,False,0.0,0,0,0,,,
56,normal relaxing time at home watching,Comfort and emotional support,False,0.0,0,0,0,,,
57,my mother is asking me a question,Comfort and emotional support,False,0.0,0,0,0,,,
58,touching and stroking of the arm,Comfort and emotional support,True,2.5,1,2,0,stroke,"stroke, stroking",
59,My mother is rubbing cream on my stomach,Comfort and emotional support,False,0.0,0,0,0,,,
60,I have been told that my skin looks good and they want to check it out.,Comfort and emotional support,False,0.75,0,1,0,,have,
61,I'm riding the bus and a stranger sat next to me and touched my arm like the video.,Comfort and emotional support,False,0.0,0,0,0,,,
62,It feels weird being touched like that. It feels like something your romantic partner would do and not colleague.,Comfort and emotional support,False,0.0,0,0,0,,,
63,I am sitting on a chair with my feet elevated and the masseuse is sitting in front of me and rubbing my feet.,Comfort and emotional support,False,0.0,0,0,0,,,
64,They are checking my blood,Comfort and emotional support,False,0.0,0,0,0,,,
65,Socialisng,Comfort and emotional support,False,0.0,0,0,0,,,
66,The nurse is applying pressure and rubbing with wool soaked with a numbing agent,Comfort and emotional support,False,0.0,0,0,0,,,
67,she is rubbing my forearm with her index finger,Comfort and emotional support,False,0.0,0,0,0,,,
68,playing with my face,Comfort and emotional support,False,0.0,0,0,0,,,
69,My nephew is trying to get me to get up and play with him.,Comfort and emotional support,False,0.0,0,0,0,,,
70,"talking, joking, laughing, gossiping",Comfort and emotional support,False,0.0,0,0,0,,,
71,he comes next to me and touching me,Comfort and emotional support,False,0.0,0,0,0,,,
72,Touching something irregular on the skin,Comfort and emotional support,False,0.0,0,0,0,,,
73,my son wants my attention and rubs my leg in order for me to acknowledge him,Comfort and emotional support,False,0.75,0,1,0,,attention,
74,I'm being examined,Comfort and emotional support,False,0.0,0,0,0,,,
75,It' afternoon or evening and we are chilling together,Comfort and emotional support,False,0.0,0,0,0,,,
76,He's massaging me,Comfort and emotional support,False,0.0,0,0,0,,,
77,They just randomly started doing that,Comfort and emotional support,False,0.0,0,0,0,,,
78,Rubbing my arm with their finger as a sign of affection,Comfort and emotional support,True,1.0,1,0,0,affection,,
79,he's trying to be affectionate,Comfort and emotional support,False,0.0,0,0,0,,,
80,My partner is showing care,Comfort and emotional support,True,1.75,1,1,0,care,care,
81,We're eating and talking,Comfort and emotional support,False,0.0,0,0,0,,,
82,We have been seated next to each other casually,Comfort and emotional support,False,0.75,0,1,0,,have,
