word,synset,definition,synonyms,closest_words,closest_words_with_distances
Pat,tap.n.08,a light touch or stroke,"tap, dab","touch, contact, hit, dig, kiss, kiss, catch, handling, fingering, grope, palpation, tickle, stroke, tag, lick, grazing, act, rub, contusion, crash","touch (0.077), contact (0.143), hit (0.143), dig (0.143), kiss (0.143), kiss (0.143), catch (0.143), handling (0.143), fingering (0.143), grope (0.143), palpation (0.143), tickle (0.143), stroke (0.143), tag (0.143), lick (0.143), grazing (0.143), act (0.167), rub (0.200), contusion (0.200), crash (0.200)"
Cuddle,cuddle.n.01,a close and affectionate (and often prolonged) embrace,"nestle, snuggle","embrace, hug, clasp, chokehold, wrestling hold, grasping, bear hug, nelson, Japanese stranglehold, lock, scissors, stranglehold, toehold, full nelson, half nelson, hammerlock, headlock, control, repression, crowd control","embrace (0.048), hug (0.091), clasp (0.100), chokehold (0.143), wrestling hold (0.143), grasping (0.158), bear hug (0.182), nelson (0.182), Japanese stranglehold (0.182), lock (0.182), scissors (0.182), stranglehold (0.182), toehold (0.182), full nelson (0.217), half nelson (0.217), hammerlock (0.217), headlock (0.217), control (0.222), repression (0.263), crowd control (0.263)"
Cuddle,cuddle.v.01,move or arrange oneself in a comfortable and cozy position,"snuggle, nestle, nest, nuzzle, draw_close","cling to, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust","cling to (0.200), entity (0.667), breathe (0.667), act (0.667), be active (0.667), oversleep (0.667), nod (0.667), fall asleep (0.667), go to bed (0.667), get up (0.667), wake (0.667), keep up (0.667), wear (0.667), lie in (0.667), carry to term (0.667), keep down (0.667), gag (0.667), treat (0.667), exercise (0.667), exhaust (0.667)"
Cuddle,cuddle.v.02,"hold (a person or thing) close, as for affection, comfort, or warmth",N/A,"embrace, clinch, interlock, clasp, grasp, latch on, cling, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in","embrace (0.111), clinch (0.200), interlock (0.200), clasp (0.250), grasp (0.429), latch on (0.500), cling (0.500), entity (0.750), breathe (0.750), act (0.750), be active (0.750), oversleep (0.750), nod (0.750), fall asleep (0.750), go to bed (0.750), get up (0.750), wake (0.750), keep up (0.750), wear (0.750), lie in (0.750)"
Stroke,stroke.n.04,a light touch,N/A,"touch, brush, contact, collision, engagement, flick, impact, happening, blow, slam, accompaniment, avalanche, experience, trouble, treat, miracle, wonder, thing, episode, eventuality","touch (0.067), brush (0.125), contact (0.143), collision (0.200), engagement (0.200), flick (0.200), impact (0.200), happening (0.231), blow (0.250), slam (0.250), accompaniment (0.286), avalanche (0.286), experience (0.286), trouble (0.286), treat (0.286), miracle (0.286), wonder (0.286), thing (0.286), episode (0.286), eventuality (0.286)"
Caress,caress.n.01,a gentle affectionate stroking (or something resembling it),N/A,"stroke, touch, contact, tap, hit, dig, kiss, kiss, catch, handling, fingering, grope, palpation, tickle, tag, lick, grazing, act, rub, contusion","stroke (0.067), touch (0.143), contact (0.200), tap (0.200), hit (0.200), dig (0.200), kiss (0.200), kiss (0.200), catch (0.200), handling (0.200), fingering (0.200), grope (0.200), palpation (0.200), tickle (0.200), tag (0.200), lick (0.200), grazing (0.200), act (0.231), rub (0.250), contusion (0.250)"
Caress,caress.v.01,touch or stroke lightly in a loving or endearing manner,fondle,"paw, grope, dandle, pet, chuck, nuzzle, pet, tickle, stroke, canoodle, gentle, neck, smooch, lick, tongue, entity, breathe, act, be active, oversleep","paw (0.143), grope (0.143), dandle (0.143), pet (0.143), chuck (0.143), nuzzle (0.143), pet (0.143), tickle (0.143), stroke (0.200), canoodle (0.250), gentle (0.250), neck (0.250), smooch (0.333), lick (0.333), tongue (0.429), entity (0.667), breathe (0.667), act (0.667), be active (0.667), oversleep (0.667)"
Affection,affection.n.01,a positive feeling of liking,"affectionateness, fondness, tenderness, heart, warmness, warmheartedness, philia","attachment, protectiveness, regard, soft spot, feeling, affect, emotion, thing, glow, faintness, soul, passion, sentiment, complex, ambivalence, apathy, desire, sex, pleasure, pain","attachment (0.077), protectiveness (0.077), regard (0.077), soft spot (0.077), feeling (0.091), affect (0.167), emotion (0.167), thing (0.167), glow (0.167), faintness (0.167), soul (0.167), passion (0.167), sentiment (0.167), complex (0.167), ambivalence (0.167), apathy (0.167), desire (0.167), sex (0.167), pleasure (0.167), pain (0.167)"
Romantic,amatory.s.01,expressive of or exciting sexual love or romance,"amatory, amorous","entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Hug,hug.n.01,a tight or amorous embrace,"clinch, squeeze","embrace, cuddle, clasp, chokehold, wrestling hold, grasping, bear hug, nelson, Japanese stranglehold, lock, scissors, stranglehold, toehold, full nelson, half nelson, hammerlock, headlock, control, repression, crowd control","embrace (0.048), cuddle (0.091), clasp (0.100), chokehold (0.143), wrestling hold (0.143), grasping (0.158), bear hug (0.182), nelson (0.182), Japanese stranglehold (0.182), lock (0.182), scissors (0.182), stranglehold (0.182), toehold (0.182), full nelson (0.217), half nelson (0.217), hammerlock (0.217), headlock (0.217), control (0.222), repression (0.263), crowd control (0.263)"
