group_key,word,count,total_group_count,is_main,variation_rank
touching,touching,224,226,TRUE,1
touching,touuching,1,226,FALSE,2
touching,tuching,1,226,FALSE,3
watching,watching,222,226,TRUE,1
watching,whatching,1,226,FALSE,2
watching,wathcing,1,226,FALSE,3
watching,wathing,1,226,FALSE,4
watching,wating,1,226,FALSE,5
trying,trying,215,218,TRUE,1
trying,triyng,1,218,FALSE,2
trying,tryng,1,218,FALSE,3
trying,tying,1,218,FALSE,4
arm,arm,208,213,TRUE,1
arm,arms,5,213,FALSE,2
attention,attention,211,212,TRUE,1
attention,attencion,1,212,FALSE,2
touch,touch,103,204,TRUE,1
touch,touch,93,204,FALSE,2
touch,touchy,4,204,FALSE,3
touch,tuch,1,204,FALSE,4
touch,tousch,2,204,FALSE,5
touch,touchs,1,204,FALSE,6
friend,friend,174,203,TRUE,1
friend,friends,23,203,FALSE,2
friend,friendly,5,203,FALSE,3
friend,frienfd,1,203,FALSE,4
something,something,184,184,TRUE,1
talking,talking,164,166,TRUE,1
talking,talkin,1,166,FALSE,2
talking,taliking,1,166,FALSE,3
sitting,sitting,153,154,TRUE,1
sitting,siting,1,154,FALSE,2
person,person,132,153,TRUE,1
person,persona,2,153,FALSE,2
person,personal,14,153,FALSE,3
person,persons,4,153,FALSE,4
person,peron,1,153,FALSE,5
get,get,149,151,TRUE,1
get,gets,2,151,FALSE,2
hand,hand,129,141,TRUE,1
hand,hands,12,141,FALSE,2
wants,wants,92,118,TRUE,1
wants,want,19,118,FALSE,2
wants,wanting,7,118,FALSE,3
tv,tv,113,113,TRUE,1
rubbing,rubbing,105,108,TRUE,1
rubbing,rubing,3,108,FALSE,2
child,child,97,100,TRUE,1
child,children,2,100,FALSE,2
child,chid,1,100,FALSE,3
back,back,94,94,TRUE,1
shoulder,shoulder,84,92,TRUE,1
shoulder,shoulders,7,92,FALSE,2
shoulder,shouder,1,92,FALSE,3
someone,someone,91,91,TRUE,1
movie,movie,89,89,TRUE,1
partner,partner,83,87,TRUE,1
partner,partener,1,87,FALSE,2
partner,partnet,1,87,FALSE,3
partner,parter,1,87,FALSE,4
partner,partners,1,87,FALSE,5
feel,feel,68,79,TRUE,1
feel,feels,11,79,FALSE,2
forearm,forearm,76,77,TRUE,1
forearm,forarm,1,77,FALSE,2
gentle,gentle,56,75,TRUE,1
gentle,gentle,19,75,FALSE,2
finger,finger,67,73,TRUE,1
finger,fingers,5,73,FALSE,2
finger,finnger,1,73,FALSE,3
tapping,tapping,71,73,TRUE,1
tapping,tapiing,1,73,FALSE,2
tapping,taping,1,73,FALSE,3
comfort,comfort,51,69,TRUE,1
comfort,confort,5,69,FALSE,2
comfort,comforted,8,69,FALSE,3
comfort,comforts,4,69,FALSE,4
comfort,conforts,1,69,FALSE,5
comforting,comforting,64,66,TRUE,1
comforting,conforting,2,66,FALSE,2
like,like,58,62,TRUE,1
like,likes,4,62,FALSE,2
im,im,60,60,TRUE,1
time,time,41,58,TRUE,1
time,times,17,58,FALSE,2
day,day,4,58,TRUE,1
day,day,54,58,FALSE,2
way,way,56,57,TRUE,1
way,ways,1,57,FALSE,2
conversation,conversation,57,57,TRUE,1
doctor,doctor,53,56,TRUE,1
doctor,doctors,2,56,FALSE,2
doctor,doctot,1,56,FALSE,3
sad,sad,56,56,TRUE,1
work,work,52,52,TRUE,1
couch,couch,50,50,TRUE,1
ask,ask,22,50,TRUE,1
ask,ask,28,50,FALSE,2
family,family,48,49,TRUE,1
family,familly,1,49,FALSE,2
relaxing,relaxing,49,49,TRUE,1
bed,bed,48,48,TRUE,1
telling,telling,47,47,TRUE,1
together,together,46,46,TRUE,1
news,news,46,46,TRUE,1
chilling,chilling,44,45,TRUE,1
chilling,chillung,1,45,FALSE,2
playing,playing,45,45,TRUE,1
bad,bad,45,45,TRUE,1
colleague,colleague,1,44,TRUE,1
colleague,colleague,39,44,FALSE,2
colleague,collegue,2,44,FALSE,3
colleague,colleaue,1,44,FALSE,4
colleague,colleagues,1,44,FALSE,5
next,next,43,43,TRUE,1
waiting,waiting,43,43,TRUE,1
feeling,feeling,40,42,TRUE,1
feeling,feelings,2,42,FALSE,2
need,need,27,42,TRUE,1
need,needs,15,42,FALSE,2
leg,leg,40,42,TRUE,1
leg,legs,2,42,FALSE,2
stranger,stranger,36,40,TRUE,1
stranger,strange,3,40,FALSE,2
stranger,strangers,1,40,FALSE,3
face,face,39,39,TRUE,1
talk,talk,36,37,TRUE,1
talk,talks,1,37,FALSE,2
home,home,37,37,TRUE,1
poking,poking,35,36,TRUE,1
poking,pocking,1,36,FALSE,2
situation,situation,33,35,TRUE,1
situation,situational,1,35,FALSE,2
situation,station,1,35,FALSE,3
caress,caress,16,34,TRUE,1
caress,carecing,1,34,FALSE,2
caress,caresing,1,34,FALSE,3
caress,caresses,12,34,FALSE,4
caress,caressed,1,34,FALSE,5
caress,caress,3,34,FALSE,6
starts,starts,27,34,TRUE,1
starts,start,7,34,FALSE,2
upset,upset,4,33,TRUE,1
upset,upset,29,33,FALSE,2
one,one,33,33,TRUE,1
cuddling,cuddling,31,32,TRUE,1
cuddling,coudling,1,32,FALSE,2
mother,mother,30,32,TRUE,1
mother,aother,1,32,FALSE,2
mother,mohter,1,32,FALSE,3
happened,happened,25,32,TRUE,1
happened,happens,4,32,FALSE,2
happened,happen,2,32,FALSE,3
happened,happend,1,32,FALSE,4
sofa,sofa,32,32,TRUE,1
going,going,32,32,TRUE,1
life,life,28,32,TRUE,1
life,lives,3,32,FALSE,2
life,lifes,1,32,FALSE,3
nt,nt,32,32,TRUE,1
table,table,28,31,TRUE,1
table,able,1,31,FALSE,2
table,tables,2,31,FALSE,3
show,show,31,31,TRUE,1
working,working,1,30,TRUE,1
working,working,29,30,FALSE,2
walk,walk,22,30,TRUE,1
walk,walk,5,30,FALSE,2
walk,walks,3,30,FALSE,3
around,around,30,30,TRUE,1
video,video,26,30,TRUE,1
video,videos,4,30,FALSE,2
take,take,10,29,TRUE,1
