response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,Comfort and emotional support,True,1.5,1,0,1,cuddle,,cuddle
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,Comfort and emotional support,False,0.5,0,0,1,,,touch
3,My girlfriend is touching my neck,Comfort and emotional support,True,1.0,0,0,2,,,"neck, touch"
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",Comfort and emotional support,False,0.5,0,0,1,,,touch
5,making fun,Comfort and emotional support,False,0.0,0,0,0,,,
6,we are talking and my partner is massaging my hand,Comfort and emotional support,False,0.0,0,0,0,,,
7,we are watching TV,Comfort and emotional support,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,Comfort and emotional support,False,0.0,0,0,0,,,
9,we are sleeping,Comfort and emotional support,False,0.0,0,0,0,,,
10,my mother is touching my back,Comfort and emotional support,False,0.5,0,0,1,,,touch
11,doctor is checking for muscle tenderness,Comfort and emotional support,False,0.75,0,1,0,,tenderness,
12,"We're in class, being bored during a Philosophy lesson",Comfort and emotional support,False,0.0,0,0,0,,,
13,my child is trying to get my attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,Comfort and emotional support,True,4.75,2,1,4,"calm, stress",uneasy,"calm, down, feel, feeling"
15,My daughter is rubbing my arm with her finder,Comfort and emotional support,False,0.5,0,0,1,,,rub
16,My mom is cleaning something of my face,Comfort and emotional support,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",Comfort and emotional support,False,0.0,0,0,0,,,
18,Sat on the couch watching tv,Comfort and emotional support,False,0.0,0,0,0,,,
19,We are watching movie and im begin touched pretty same as on video but maybe slower,Comfort and emotional support,False,0.5,0,0,1,,,touch
20,They are trying to get my attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
21,He is trying to get my attention,Comfort and emotional support,False,0.75,0,1,0,,attention,
22,Playing pretend doctors and nurses,Comfort and emotional support,False,0.5,0,0,1,,,nurse
23,The person is touching me to get my attention,Comfort and emotional support,True,1.25,0,1,1,,attention,touch
24,They are applying pressure to my arm while rubbing up and down,Comfort and emotional support,True,1.0,0,0,2,,,"down, rub"
25,We are sitting on the couch watching a movie,Comfort and emotional support,False,0.0,0,0,0,,,
26,"The music is loud, we are dancing and singing",Comfort and emotional support,False,0.0,0,0,0,,,
27,daughter wants to ask for something,Comfort and emotional support,False,0.0,0,0,0,,,
