response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,strager boundary concern,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,strager boundary concern,False,0.75,0,1,0,,touch,touch
3,we are talking about our upcoming exams and projects,strager boundary concern,False,0.0,0,0,0,,,
4,The friend is comforting me.,strager boundary concern,False,0.0,0,0,0,,,
5,We are talking,strager boundary concern,False,0.0,0,0,0,,,
6,I am sad and my mom tries to comfort me.,strager boundary concern,False,0.75,0,1,0,,try,
7,we are having a conversation,strager boundary concern,False,0.0,0,0,0,,,
8,we are both sitting in the kitchen table,strager boundary concern,False,0.0,0,0,0,,,
9,The other person is trying to comfort me.,strager boundary concern,True,1.75,1,1,0,trying,try,person
10,He touching me,strager boundary concern,False,0.75,0,1,0,,touch,touch
11,I received some bad news,strager boundary concern,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,strager boundary concern,False,0.0,0,0,0,,,
13,We are in class and my friend touches me during a lecture to make me laugh,strager boundary concern,False,0.75,0,1,0,,touch,touch
14,Grounding technique,strager boundary concern,False,0.0,0,0,0,,,
15,Wife is putting her hand on my shoulder.,strager boundary concern,False,0.0,0,0,0,,,
16,I was walking down the street and my acquaintance way walking  behind my back,strager boundary concern,True,1.0,1,0,0,behind,,
17,We are sitting and talking. She touched my knee,strager boundary concern,True,1.75,1,1,0,touched,touch,touch
18,Maybe i'm describing something that worries me,strager boundary concern,False,0.0,0,0,0,,,
19,we are sitting in the living room,strager boundary concern,False,0.0,0,0,0,,,
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",strager boundary concern,False,0.75,0,1,0,,touch,"feel, touch"
21,I've received news that I did not get the job I wanted.,strager boundary concern,False,0.75,0,1,0,,want,
22,we have a deep conversation about some serious topics like health,strager boundary concern,False,0.0,0,0,0,,,
23,My friend is comforting me after I just received news of the passing of a loved one.,strager boundary concern,False,0.0,0,0,0,,,pass
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,strager boundary concern,True,4.5,3,2,0,"approached, man, touched","approach, touch","approach, touch"
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,strager boundary concern,False,0.75,0,1,0,,touch,"feel, touch"
26,We are chilling on the bed,strager boundary concern,False,0.0,0,0,0,,,
27,The person is asking me if everything is okay with my life.,strager boundary concern,True,1.0,1,0,0,ask,,person
28,She is talking to me,strager boundary concern,False,0.0,0,0,0,,,
29,"There are many people around us, but he took an interest in me and he is speaking to me in a creepy way",strager boundary concern,True,1.0,1,0,0,creepy,,
30,She's helping me going through some troubles.,strager boundary concern,False,0.0,0,0,0,,,
31,I have a problem with the University and I am speaking with my parents,strager boundary concern,False,0.0,0,0,0,,,parent
32,she's reassuring me about a situation.,strager boundary concern,False,0.0,0,0,0,,,
33,I'm feeling anxious about incoming deadlines,strager boundary concern,False,0.0,0,0,0,,,feel
34,a hand reaches to gently tap snother person's arm a few times,strager boundary concern,False,0.0,0,0,0,,,tap
35,I feel sad,strager boundary concern,False,0.0,0,0,0,,,feel
36,She is touching my forearm after a long heart to heart conversation.,strager boundary concern,False,0.75,0,1,0,,touch,touch
37,I was unhappy and my mother said to me that all are ok,strager boundary concern,False,0.0,0,0,0,,,
38,I am explaining something I find difficult at work,strager boundary concern,False,0.0,0,0,0,,,
39,My wife is comforting me after some annoyance,strager boundary concern,False,0.0,0,0,0,,,
40,My colleague is trying to touch  me in a way that will lead to sex.,strager boundary concern,True,2.5,1,2,0,trying,"touch, try",touch
41,someone is touching me tenderly,strager boundary concern,False,0.75,0,1,0,,touch,touch
42,having a deep conversation,strager boundary concern,False,0.0,0,0,0,,,
43,I have just finished my homework that I was doing next to him while he drinks his coffee.,strager boundary concern,False,0.0,0,0,0,,,
44,We could be watching tv and sitting on the couch or lying on the bed,strager boundary concern,False,0.0,0,0,0,,,
45,"We are in class, the professor tells us that in this term things may get difficult due to country's energy crisis, my friend touch me in the hand to comfort me and let me know that we are in this situation together.",strager boundary concern,False,0.75,0,1,0,,touch,"thing, touch"
46,We are lying next to eah other in the evening. She grabs my hand like this as she often does in the evening before going to sleep.,strager boundary concern,True,1.0,1,0,0,grab,,
