response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,Playful teasing joking,False,0.0,0,0,0,,,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,Playful teasing joking,False,0.5,0,0,1,,,touch
3,My girlfriend is touching my neck,Playful teasing joking,False,0.5,0,0,1,,,touch
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",Playful teasing joking,True,2.5,1,0,3,play,,"game, play, touch"
5,making fun,Playful teasing joking,True,2.5,2,0,1,"fun, making",,fun
6,we are talking and my partner is massaging my hand,Playful teasing joking,False,0.0,0,0,0,,,
7,we are watching TV,Playful teasing joking,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,Playful teasing joking,False,0.0,0,0,0,,,
9,we are sleeping,Playful teasing joking,False,0.0,0,0,0,,,
10,my mother is touching my back,Playful teasing joking,False,0.5,0,0,1,,,touch
11,doctor is checking for muscle tenderness,Playful teasing joking,False,0.0,0,0,0,,,
12,"We're in class, being bored during a Philosophy lesson",Playful teasing joking,False,0.0,0,0,0,,,
13,my child is trying to get my attention,Playful teasing joking,True,1.0,0,0,2,,,"child, get"
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,Playful teasing joking,False,0.5,0,0,1,,,down
15,My daughter is rubbing my arm with her finder,Playful teasing joking,False,0.0,0,0,0,,,
16,My mom is cleaning something of my face,Playful teasing joking,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",Playful teasing joking,False,0.0,0,0,0,,,
18,Sat on the couch watching tv,Playful teasing joking,False,0.0,0,0,0,,,
19,We are watching movie and im begin touched pretty same as on video but maybe slower,Playful teasing joking,False,0.5,0,0,1,,,touch
20,They are trying to get my attention,Playful teasing joking,False,0.5,0,0,1,,,get
21,He is trying to get my attention,Playful teasing joking,False,0.5,0,0,1,,,get
22,Playing pretend doctors and nurses,Playful teasing joking,True,2.0,1,0,2,play,,"nurse, play"
23,The person is touching me to get my attention,Playful teasing joking,True,1.0,0,0,2,,,"get, touch"
24,They are applying pressure to my arm while rubbing up and down,Playful teasing joking,False,0.5,0,0,1,,,down
25,We are sitting on the couch watching a movie,Playful teasing joking,False,0.0,0,0,0,,,
26,"The music is loud, we are dancing and singing",Playful teasing joking,True,1.5,0,0,3,,,"dance, dancing, music"
