response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,Child-related,False,0.0,0,0,0,,,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,Child-related,False,0.0,0,0,0,,,
3,My girlfriend is touching my neck,Child-related,False,0.0,0,0,0,,,
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",Child-related,True,1.0,1,0,0,play,,
5,making fun,Child-related,False,0.0,0,0,0,,,
6,we are talking and my partner is massaging my hand,Child-related,False,0.0,0,0,0,,,
7,we are watching TV,Child-related,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,Child-related,False,0.0,0,0,0,,,
9,we are sleeping,Child-related,False,0.0,0,0,0,,,
10,my mother is touching my back,Child-related,False,0.0,0,0,0,,,
11,doctor is checking for muscle tenderness,Child-related,False,0.0,0,0,0,,,
12,"We're in class, being bored during a Philosophy lesson",Child-related,False,0.0,0,0,0,,,
13,my child is trying to get my attention,Child-related,True,2.75,2,1,0,"attention, child",child,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,Child-related,False,0.75,0,1,0,,bite,
15,My daughter is rubbing my arm with her finder,Child-related,True,1.0,1,0,0,daughter,,
16,My mom is cleaning something of my face,Child-related,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",Child-related,False,0.0,0,0,0,,,
18,Sat on the couch watching tv,Child-related,False,0.0,0,0,0,,,
19,We are watching movie and im begin touched pretty same as on video but maybe slower,Child-related,False,0.0,0,0,0,,,
20,They are trying to get my attention,Child-related,True,1.0,1,0,0,attention,,
21,He is trying to get my attention,Child-related,True,1.0,1,0,0,attention,,
22,Playing pretend doctors and nurses,Child-related,True,1.0,1,0,0,play,,
23,The person is touching me to get my attention,Child-related,True,1.0,1,0,0,attention,,
24,They are applying pressure to my arm while rubbing up and down,Child-related,False,0.0,0,0,0,,,
25,We are sitting on the couch watching a movie,Child-related,False,0.0,0,0,0,,,
26,"The music is loud, we are dancing and singing",Child-related,False,0.0,0,0,0,,,
27,daughter wants to ask for something,Child-related,True,2.0,2,0,0,"ask, daughter",,
28,My romantic partner touches my arm exactly as shown in the video at her/my home,Child-related,True,1.0,1,0,0,show,,
29,watching some video on tv or a film on netflix.,Child-related,False,0.0,0,0,0,,,
30,My arm is being gently rubbed,Child-related,False,0.0,0,0,0,,,
31,"I'm sleeping or dozing, not paying attention",Child-related,False,0.0,0,0,0,,,
32,playing with a kid,Child-related,True,2.75,2,1,0,"kid, play",kid,
33,A doctor is conducting a check-up,Child-related,False,0.0,0,0,0,,,
34,we're spending our break time in leisure together,Child-related,False,0.0,0,0,0,,,
35,She's trying to tease me to do something else.,Child-related,False,0.0,0,0,0,,,
36,The girlfriend is scrubbing or rubbing my chest in a romantic way,Child-related,False,0.0,0,0,0,,,
37,I was going for a regular check-up and to get my vitals checked.,Child-related,False,0.0,0,0,0,,,
38,"My son is asking me about something he wants, either a toy or a specific snack",Child-related,True,4.0,4,0,0,"ask, snack, son, toy",,
39,she tries to relax me,Child-related,False,0.0,0,0,0,,,
40,being touch with just one finger,Child-related,False,0.0,0,0,0,,,
41,They are helping me calm down after I've had an anxiety attack.,Child-related,True,1.0,1,0,0,help,,
42,kid is just touching while trying to get attention,Child-related,True,2.75,2,1,0,"attention, kid",kid,
43,"touching my arm, could be on the current topic being discussed",Child-related,False,0.0,0,0,0,,,
44,They are caresing me,Child-related,False,0.0,0,0,0,,,
45,Someone is aggressively pressing their finger into my arm,Child-related,False,0.0,0,0,0,,,
46,my friend wants to show me a cool trick with human body she just learnt,Child-related,True,1.0,1,0,0,show,,
47,I am at the computer answering this survey while i am waiting for my lunch.,Child-related,False,0.0,0,0,0,,,
48,the stranger and I are talking,Child-related,False,0.0,0,0,0,,,
49,having argument,Child-related,False,0.0,0,0,0,,,
50,i'm distracted scrolling through my phone,Child-related,False,0.0,0,0,0,,,
51,We are at a playground.,Child-related,False,0.0,0,0,0,,,
52,we are having a dinner,Child-related,False,0.0,0,0,0,,,
53,my sister is petting my forearm,Child-related,False,0.0,0,0,0,,,
