word,synset,definition,synonyms
Comfort,comfort.n.01,a state of being relaxed and feeling no pain,comfortableness
Reassure,reassure.v.01,cause to feel sure; give reassurance to,assure
Calm,composure.n.01,steadiness of mind under stress,"composure, calmness, equanimity"
Soothe,comfort.v.01,give moral or emotional strength to,"comfort, console, solace"
Support,support.v.01,"give moral or psychological support, aid, or courage to",back_up
Care,care.n.01,the work of providing treatment for or attending to someone or something,"attention, aid, tending"
Affection,affection.n.01,a positive feeling of liking,"affectionateness, fondness, tenderness, heart, warmness, warmheartedness, philia"
Cuddle,cuddle.n.01,a close and affectionate (and often prolonged) embrace,"nestle, snuggle"
Hug,hug.n.01,a tight or amorous embrace,"clinch, squeeze"
Pat,tap.n.08,a light touch or stroke,"tap, dab"
Pat,chuck.v.03,"pat or squeeze fondly or playfully, especially under the chin",chuck
Pat,dab.v.02,hit lightly,dab
Caress,caress.n.01,a gentle affectionate stroking (or something resembling it),N/A
Stroke,stroke.n.04,a light touch,N/A
Stroke,stroke.n.05,a light touch with the hands,stroking
Hold,have.v.01,"have or possess, either in a concrete or an abstract sense","have, have_got"
Cheer,cheer.n.01,a cry or shout of approval,N/A
Encourage,encourage.v.02,inspire with confidence; give hope or courage to,N/A
Grounding,ground.v.02,confine or restrict to the ground,ground
Sad,sad.a.01,experiencing or showing sorrow or unhappiness; ; - Christina Rossetti,N/A
Upset,disturbance.n.02,an unhappy and worried mental state,"disturbance, perturbation"
Upset,upset.n.02,the act of disturbing the mind or body,"derangement, overthrow"
Cry,cry.n.01,a loud utterance; often in protest or opposition,"outcry, call, yell, shout, vociferation"
Anxiety,anxiety.n.01,"(psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic",anxiousness
Anxiety,anxiety.n.02,a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune,N/A
Anxious,anxious.s.01,eagerly desirous,dying
Anxious,anxious.s.02,causing or fraught with or showing anxiety,"nervous, queasy, uneasy, unquiet"
Stress,tension.n.01,(psychology) a state of mental or emotional strain or suspense,"tension, tenseness"
Worried,worry.v.01,"be worried, concerned, anxious, troubled, or uneasy",worry
Worried,worry.v.02,be concerned with,"worry, care"
Emotional,emotional.a.01,determined or actuated by emotion rather than reason,N/A
Bad_news,N/A,N/A,N/A
