word,synset,definition,synonyms,closest_words,closest_words_with_distances
Doctor,doctor.n.01,a licensed medical practitioner,"doc, physician, MD, Dr., medico","abortionist, allergist, angiologist, extern, gastroenterologist, general practitioner, hakim, house physician, intern, primary care physician, quack, specialist, surgeon, veterinarian, Averroes, Avicenna, Barany, Bartholin, Bruce, Crohn","abortionist (0.040), allergist (0.040), angiologist (0.040), extern (0.040), gastroenterologist (0.040), general practitioner (0.040), hakim (0.040), house physician (0.040), intern (0.040), primary care physician (0.040), quack (0.040), specialist (0.040), surgeon (0.040), veterinarian (0.040), Averroes (0.040), Avicenna (0.040), Barany (0.040), Bartholin (0.040), Bruce (0.040), Crohn (0.040)"
Check,check.n.01,a written order directing a bank to pay money,"bank_check, cheque","bad check, kite, kite, counter check, giro, paycheck, certified check, personal check, cashier's check, blank check, medicare check, draft, overdraft, foreign bill, inland bill, redraft, trade acceptance, bank draft, dividend warrant, money order","bad check (0.048), kite (0.048), kite (0.048), counter check (0.048), giro (0.048), paycheck (0.048), certified check (0.048), personal check (0.048), cashier's check (0.048), blank check (0.048), medicare check (0.048), draft (0.053), overdraft (0.100), foreign bill (0.100), inland bill (0.100), redraft (0.100), trade acceptance (0.100), bank draft (0.100), dividend warrant (0.100), money order (0.100)"
Chekup,N/A,N/A,N/A,N/A,N/A
Therapist,therapist.n.01,a person skilled in a particular type of therapy,healer,"naprapath, alleviator, chiropractor, curandera, curandero, electrotherapist, herbalist, naturopath, osteopath, physical therapist, psychotherapist, sangoma, speech therapist, massager, Coue, masseur, masseuse, organism, benthos, dwarf","naprapath (0.053), alleviator (0.053), chiropractor (0.053), curandera (0.053), curandero (0.053), electrotherapist (0.053), herbalist (0.053), naturopath (0.053), osteopath (0.053), physical therapist (0.053), psychotherapist (0.053), sangoma (0.053), speech therapist (0.053), massager (0.100), Coue (0.100), masseur (0.143), masseuse (0.143), organism (0.200), benthos (0.250), dwarf (0.250)"
Massage,massage.n.01,kneading and rubbing parts of the body to increase circulation and promote relaxation,N/A,"rubdown, cardiac massage, effleurage, petrissage, reflexology, Swedish massage, tapotement, treatment, medical care, modality, detoxification, chiropractic, fomentation, naturopathy, naprapathy, orthodontic treatment, orthoptics, osteopathy, osteoclasis, acupuncture","rubdown (0.048), cardiac massage (0.048), effleurage (0.048), petrissage (0.048), reflexology (0.048), Swedish massage (0.048), tapotement (0.048), treatment (0.053), medical care (0.100), modality (0.100), detoxification (0.100), chiropractic (0.100), fomentation (0.100), naturopathy (0.100), naprapathy (0.100), orthodontic treatment (0.100), orthoptics (0.100), osteopathy (0.100), osteoclasis (0.100), acupuncture (0.100)"
Pressure,pressure.n.01,the force applied to a unit area of surface; measured in pascals (SI unit) or in dynes (cgs unit),"pressure_level, force_per_unit_area","blood pressure, gas pressure, head, hydrostatic head, intraocular pressure, oil pressure, osmotic pressure, radiation pressure, sound pressure, suction, vapor pressure, physical phenomenon, acoustic radiation pressure, atmospheric pressure, systolic pressure, diastolic pressure, arterial pressure, venous pressure, hypertonicity, hypotonicity","blood pressure (0.067), gas pressure (0.067), head (0.067), hydrostatic head (0.067), intraocular pressure (0.067), oil pressure (0.067), osmotic pressure (0.067), radiation pressure (0.067), sound pressure (0.067), suction (0.067), vapor pressure (0.067), physical phenomenon (0.077), acoustic radiation pressure (0.125), atmospheric pressure (0.125), systolic pressure (0.125), diastolic pressure (0.125), arterial pressure (0.125), venous pressure (0.125), hypertonicity (0.125), hypotonicity (0.125)"
Examination,examination.n.01,the act of examining something closely (as for mistakes),scrutiny,"audit, autopsy, checkup, comparison, fine-tooth comb, follow-up, going-over, once-over, ophthalmoscopy, palpation, endoscopy, gonioscopy, keratoscopy, rhinoscopy, scan, search, survey, testing, time and motion study, inspection","audit (0.053), autopsy (0.053), checkup (0.053), comparison (0.053), fine-tooth comb (0.053), follow-up (0.053), going-over (0.053), once-over (0.053), ophthalmoscopy (0.053), palpation (0.053), endoscopy (0.053), gonioscopy (0.053), keratoscopy (0.053), rhinoscopy (0.053), scan (0.053), search (0.053), survey (0.053), testing (0.053), time and motion study (0.053), inspection (0.053)"
Exam,examination.n.02,a set of questions or exercises evaluating skill or knowledge,"examination, test","bar examination, comprehensive examination, entrance examination, final examination, litmus test, midterm examination, oral, preliminary examination, quiz, test paper, tripos, communication, pop quiz, transmission, intercommunication, medium, channel, mail, dramaturgy, discussion","bar examination (0.067), comprehensive examination (0.067), entrance examination (0.067), final examination (0.067), litmus test (0.067), midterm examination (0.067), oral (0.067), preliminary examination (0.067), quiz (0.067), test paper (0.067), tripos (0.067), communication (0.077), pop quiz (0.125), transmission (0.143), intercommunication (0.143), medium (0.143), channel (0.143), mail (0.143), dramaturgy (0.143), discussion (0.143)"
Press,press.n.09,the act of pressing; the exertion of pressure,"pressure, pressing","impression, compression, push, squeeze, condensing, crush, constriction, depression, nudge, shove, boost, propulsion, spasm, squeeze, strangulation, pinch, thickening, grind, expression, extrusion","impression (0.059), compression (0.059), push (0.067), squeeze (0.111), condensing (0.111), crush (0.111), constriction (0.111), depression (0.125), nudge (0.125), shove (0.125), boost (0.125), propulsion (0.143), spasm (0.158), squeeze (0.158), strangulation (0.158), pinch (0.158), thickening (0.158), grind (0.158), expression (0.158), extrusion (0.158)"
Press,press.v.01,exert pressure or force to or upon,N/A,"squeeze, squash, crunch, drag down, knuckle, push, wring, clench, stamp, steamroller, tread, telescope, grit, entity, breathe, act, be active, oversleep, nod, fall asleep","squeeze (0.200), squash (0.200), crunch (0.200), drag down (0.200), knuckle (0.200), push (0.200), wring (0.333), clench (0.333), stamp (0.333), steamroller (0.333), tread (0.333), telescope (0.333), grit (0.429), entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600)"
