word,synset,definition,synonyms,closest_words,closest_words_with_distances
Stranger,stranger.n.01,anyone who does not belong in the environment in which they are found,"alien, unknown","foreigner, transalpine, entrant, intruder, boarder, gatecrasher, infiltrator, invader, penetrator, prowler, pusher, squatter, organism, benthos, dwarf, heterotroph, parent, person, animal, plant","foreigner (0.043), transalpine (0.083), entrant (0.100), intruder (0.143), boarder (0.182), gatecrasher (0.182), infiltrator (0.182), invader (0.182), penetrator (0.182), prowler (0.182), pusher (0.182), squatter (0.182), organism (0.250), benthos (0.294), dwarf (0.294), heterotroph (0.294), parent (0.294), person (0.294), animal (0.294), plant (0.294)"
Attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending,"attentiveness, clock-watching, ear, eye, notice, notice, basic cognitive process, mind, advertence, remark, inattention, intuition, perception, apperception, believing, classification, discrimination, learning, memory, representational process","attentiveness (0.067), clock-watching (0.067), ear (0.067), eye (0.067), notice (0.067), notice (0.067), basic cognitive process (0.077), mind (0.125), advertence (0.125), remark (0.125), inattention (0.143), intuition (0.143), perception (0.143), apperception (0.143), believing (0.143), classification (0.143), discrimination (0.143), learning (0.143), memory (0.143), representational process (0.143)"
Grab,grab.n.01,a mechanical device for gripping an object,N/A,"mechanical device, broadcaster, bumper, bumper guard, carburetor, compressor, copyholder, coupling, curler, diaphragm, dicer, electromechanical device, escapement, gearshift, hook, machine, pantograph, piston, propeller, pump","mechanical device (0.053), broadcaster (0.100), bumper (0.100), bumper guard (0.100), carburetor (0.100), compressor (0.100), copyholder (0.100), coupling (0.100), curler (0.100), diaphragm (0.100), dicer (0.100), electromechanical device (0.100), escapement (0.100), gearshift (0.100), hook (0.100), machine (0.100), pantograph (0.100), piston (0.100), propeller (0.100), pump (0.100)"
Rub,rub.n.02,the act of rubbing or wiping,wipe,"scuff, contact, fair ball, snick, laying on, touch, tap, hit, dig, kiss, kiss, catch, handling, fingering, grope, palpation, tickle, stroke, tag, lick","scuff (0.059), contact (0.067), fair ball (0.125), snick (0.125), laying on (0.125), touch (0.143), tap (0.200), hit (0.200), dig (0.200), kiss (0.200), kiss (0.200), catch (0.200), handling (0.200), fingering (0.200), grope (0.200), palpation (0.200), tickle (0.200), stroke (0.200), tag (0.200), lick (0.200)"
Trying,try.v.01,make an effort or attempt,"try, seek, attempt, essay, assay","take a dare, fight, have a go, grope, endeavor, give it a whirl, gamble, risk, struggle, tug, flounder, take pains, buck, go for broke, luck it, venture, bell the cat, strive, extend oneself, kill oneself","take a dare (0.200), fight (0.200), have a go (0.200), grope (0.200), endeavor (0.200), give it a whirl (0.200), gamble (0.200), risk (0.200), struggle (0.333), tug (0.333), flounder (0.333), take pains (0.333), buck (0.333), go for broke (0.333), luck it (0.333), venture (0.333), bell the cat (0.333), strive (0.429), extend oneself (0.500), kill oneself (0.500)"
Uncomfortable,uncomfortable.a.01,conducive to or feeling mental discomfort,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Weird,weird.s.02,strikingly odd or unusual; - Bram Stoker,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Aggressively,aggressively.r.01,in an aggressive manner,sharply,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Flirt,flirt.n.02,playful behavior intended to arouse sexual interest,"flirting, flirtation, coquetry, dalliance, toying","play, folly, game, horseplay, teasing, word play, diversion, meshugaas, buffoonery, antic, bathing, celebration, dancing, entertainment, escapade, escape, eurythmy, fun, gambling, game","play (0.059), folly (0.111), game (0.111), horseplay (0.111), teasing (0.111), word play (0.111), diversion (0.125), meshugaas (0.158), buffoonery (0.158), antic (0.176), bathing (0.176), celebration (0.176), dancing (0.176), entertainment (0.176), escapade (0.176), escape (0.176), eurythmy (0.176), fun (0.176), gambling (0.176), game (0.176)"
Wants,need.n.02,anything that is necessary but lacking,"need, want","necessity, desideratum, must, thing, subject, body of water, inessential, part, reservoir, unit, variable, body part, corpus, acicula, adjunct, backwater, base, bay, chain, channel","necessity (0.111), desideratum (0.200), must (0.200), thing (0.250), subject (0.333), body of water (0.333), inessential (0.333), part (0.333), reservoir (0.333), unit (0.333), variable (0.333), body part (0.400), corpus (0.400), acicula (0.400), adjunct (0.400), backwater (0.400), base (0.400), bay (0.400), chain (0.400), channel (0.400)"
