response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,Affection closeness,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,Affection closeness,True,1.75,1,1,0,love,love,"love, touch"
3,we are talking about our upcoming exams and projects,Affection closeness,False,0.0,0,0,0,,,
4,The friend is comforting me.,Affection closeness,True,1.0,1,0,0,comfort,,
5,We are talking,Affection closeness,False,0.0,0,0,0,,,
6,I am sad and my mom tries to comfort me.,Affection closeness,True,1.0,1,0,0,comfort,,
7,we are having a conversation,Affection closeness,False,0.0,0,0,0,,,
8,we are both sitting in the kitchen table,Affection closeness,False,0.0,0,0,0,,,
9,The other person is trying to comfort me.,Affection closeness,True,1.0,1,0,0,comfort,,person
10,He touching me,Affection closeness,False,0.0,0,0,0,,,touch
11,I received some bad news,Affection closeness,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,Affection closeness,False,0.0,0,0,0,,,
13,We are in class and my friend touches me during a lecture to make me laugh,Affection closeness,False,0.0,0,0,0,,,touch
14,Grounding technique,Affection closeness,False,0.0,0,0,0,,,
15,Wife is putting her hand on my shoulder.,Affection closeness,False,0.0,0,0,0,,,wife
16,I was walking down the street and my acquaintance way walking  behind my back,Affection closeness,False,0.0,0,0,0,,,
17,We are sitting and talking. She touched my knee,Affection closeness,False,0.0,0,0,0,,,touch
18,Maybe i'm describing something that worries me,Affection closeness,False,0.0,0,0,0,,,worry
19,we are sitting in the living room,Affection closeness,False,0.0,0,0,0,,,
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",Affection closeness,False,0.0,0,0,0,,,"feel, feeling, touch"
21,I've received news that I did not get the job I wanted.,Affection closeness,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,Affection closeness,False,0.0,0,0,0,,,health
23,My friend is comforting me after I just received news of the passing of a loved one.,Affection closeness,True,2.75,2,1,0,"comfort, love",love,love
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,Affection closeness,False,0.0,0,0,0,,,touch
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,Affection closeness,True,2.0,2,0,0,"comfort, gentle",,"feel, feeling, gentle, touch"
26,We are chilling on the bed,Affection closeness,False,0.0,0,0,0,,,
27,The person is asking me if everything is okay with my life.,Affection closeness,False,0.0,0,0,0,,,person
28,She is talking to me,Affection closeness,False,0.0,0,0,0,,,
