word,synset,definition,synonyms,closest_words,closest_words_with_distances
Attention,attention.n.01,the process whereby a person concentrates on some features of the environment to the (relative) exclusion of others,attending,"attentiveness, clock-watching, ear, eye, notice, notice, basic cognitive process, mind, advertence, remark, inattention, intuition, perception, apperception, believing, classification, discrimination, learning, memory, representational process","attentiveness (0.067), clock-watching (0.067), ear (0.067), eye (0.067), notice (0.067), notice (0.067), basic cognitive process (0.077), mind (0.125), advertence (0.125), remark (0.125), inattention (0.143), intuition (0.143), perception (0.143), apperception (0.143), believing (0.143), classification (0.143), discrimination (0.143), learning (0.143), memory (0.143), representational process (0.143)"
Attention,care.n.01,the work of providing treatment for or attending to someone or something,"care, aid, tending","hair care, maternalism, babysitting, pet sitting, dental care, first aid, treatment, incubation, livery, manicure, pedicure, nourishment, nursing, tender loving care, nurturance, personal care, skin care, faith healing, tree surgery, healthcare","hair care (0.059), maternalism (0.059), babysitting (0.059), pet sitting (0.059), dental care (0.059), first aid (0.059), treatment (0.059), incubation (0.059), livery (0.059), manicure (0.059), pedicure (0.059), nourishment (0.059), nursing (0.059), tender loving care (0.059), nurturance (0.059), personal care (0.059), skin care (0.059), faith healing (0.059), tree surgery (0.059), healthcare (0.059)"
Tap,tap.v.07,"make light, repeated taps on a surface","rap, knock, pink","sound, snarl, whistle, blow, ting, make noise, splat, twang, clang, clank, clangor, boom, drum, rattle, tick, resonate, crash, tweet, skirl, gurgle","sound (0.200), snarl (0.333), whistle (0.333), blow (0.333), ting (0.333), make noise (0.333), splat (0.333), twang (0.333), clang (0.333), clank (0.333), clangor (0.333), boom (0.333), drum (0.333), rattle (0.333), tick (0.333), resonate (0.333), crash (0.333), tweet (0.333), skirl (0.333), gurgle (0.333)"
Ask,ask.v.01,inquire about,"inquire, enquire","pry, consult, communicate, grimace, yak, fingerspell, aphorize, riddle, project, reach, inflict, commune, telecommunicate, inform, joke, blog, greet, address, nod, sign","pry (0.111), consult (0.111), communicate (0.143), grimace (0.250), yak (0.250), fingerspell (0.250), aphorize (0.250), riddle (0.250), project (0.250), reach (0.250), inflict (0.250), commune (0.250), telecommunicate (0.250), inform (0.250), joke (0.250), blog (0.250), greet (0.250), address (0.250), nod (0.250), sign (0.250)"
Poke,poke.v.03,stir by poking,N/A,"agitate, beat, toss, roil, tumble, whisk, cream, muddle, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear","agitate (0.200), beat (0.333), toss (0.333), roil (0.333), tumble (0.429), whisk (0.429), cream (0.429), muddle (0.429), entity (0.667), breathe (0.667), act (0.667), be active (0.667), oversleep (0.667), nod (0.667), fall asleep (0.667), go to bed (0.667), get up (0.667), wake (0.667), keep up (0.667), wear (0.667)"
Pat,tap.n.08,a light touch or stroke,"tap, dab","touch, contact, hit, dig, kiss, kiss, catch, handling, fingering, grope, palpation, tickle, stroke, tag, lick, grazing, act, rub, contusion, crash","touch (0.077), contact (0.143), hit (0.143), dig (0.143), kiss (0.143), kiss (0.143), catch (0.143), handling (0.143), fingering (0.143), grope (0.143), palpation (0.143), tickle (0.143), stroke (0.143), tag (0.143), lick (0.143), grazing (0.143), act (0.167), rub (0.200), contusion (0.200), crash (0.200)"
Pat,chuck.v.03,"pat or squeeze fondly or playfully, especially under the chin",chuck,"caress, paw, grope, dandle, pet, nuzzle, pet, tickle, stroke, canoodle, gentle, neck, smooch, lick, tongue, entity, breathe, act, be active, oversleep","caress (0.143), paw (0.250), grope (0.250), dandle (0.250), pet (0.250), nuzzle (0.250), pet (0.250), tickle (0.250), stroke (0.333), canoodle (0.333), gentle (0.333), neck (0.333), smooch (0.400), lick (0.429), tongue (0.500), entity (0.714), breathe (0.714), act (0.714), be active (0.714), oversleep (0.714)"
Pat,dab.v.02,hit lightly,dab,"strike, jab, butt, knock, down, spur, peck, tap, hew, sideswipe, whip, beat, beat, sclaff, clout, rap, chop, slap, sclaff, buffet","strike (0.200), jab (0.333), butt (0.333), knock (0.333), down (0.333), spur (0.333), peck (0.333), tap (0.333), hew (0.333), sideswipe (0.333), whip (0.333), beat (0.333), beat (0.333), sclaff (0.333), clout (0.333), rap (0.333), chop (0.333), slap (0.333), sclaff (0.333), buffet (0.333)"
Call,call.n.06,a brief social visit,N/A,"visit, visitation, site visit, visiting, meeting, rendezvous, session, socialization, visit, visit, assembly, call, assignation, course session, flying visit, mobilization, convocation, congregation, convention, concentration","visit (0.053), visitation (0.100), site visit (0.100), visiting (0.100), meeting (0.111), rendezvous (0.158), session (0.158), socialization (0.158), visit (0.158), visit (0.158), assembly (0.176), call (0.200), assignation (0.200), course session (0.200), flying visit (0.200), mobilization (0.222), convocation (0.222), congregation (0.222), convention (0.222), concentration (0.222)"
Call,visit.v.03,pay a brief visit,"visit, call_in","see, see, drop by, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat","see (0.200), see (0.200), drop by (0.200), entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600), treat (0.600)"
Wake,wake.v.01,"be awake, be alert, be there",N/A,"stay up, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","stay up (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
