response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,Playful teasing joking,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,Playful teasing joking,False,0.5,0,0,1,,,touch
3,we are talking about our upcoming exams and projects,Playful teasing joking,False,0.75,0,1,0,,about,
4,The friend is comforting me.,Playful teasing joking,False,0.0,0,0,0,,,
5,We are talking,Playful teasing joking,False,0.0,0,0,0,,,
6,I am sad and my mom tries to comfort me.,Playful teasing joking,False,0.0,0,0,0,,,
7,we are having a conversation,Playful teasing joking,False,0.0,0,0,0,,,
8,we are both sitting in the kitchen table,Playful teasing joking,False,0.0,0,0,0,,,
9,The other person is trying to comfort me.,Playful teasing joking,False,0.0,0,0,0,,,
10,He touching me,Playful teasing joking,False,0.5,0,0,1,,,touch
11,I received some bad news,Playful teasing joking,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,Playful teasing joking,False,0.75,0,1,0,,about,
13,We are in class and my friend touches me during a lecture to make me laugh,Playful teasing joking,True,4.75,3,1,2,"laugh, make me laugh, make_me_laugh",laugh,"laugh, touch"
14,Grounding technique,Playful teasing joking,False,0.0,0,0,0,,,
15,Wife is putting her hand on my shoulder.,Playful teasing joking,False,0.0,0,0,0,,,
16,I was walking down the street and my acquaintance way walking  behind my back,Playful teasing joking,False,0.5,0,0,1,,,down
17,We are sitting and talking. She touched my knee,Playful teasing joking,False,0.5,0,0,1,,,touch
18,Maybe i'm describing something that worries me,Playful teasing joking,False,0.0,0,0,0,,,
19,we are sitting in the living room,Playful teasing joking,False,0.0,0,0,0,,,
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",Playful teasing joking,False,0.5,0,0,1,,,touch
21,I've received news that I did not get the job I wanted.,Playful teasing joking,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,Playful teasing joking,False,0.75,0,1,0,,about,
23,My friend is comforting me after I just received news of the passing of a loved one.,Playful teasing joking,False,0.0,0,0,0,,,
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,Playful teasing joking,False,0.5,0,0,1,,,touch
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,Playful teasing joking,False,0.5,0,0,1,,,touch
26,We are chilling on the bed,Playful teasing joking,False,0.0,0,0,0,,,
27,The person is asking me if everything is okay with my life.,Playful teasing joking,False,0.0,0,0,0,,,
28,She is talking to me,Playful teasing joking,False,0.0,0,0,0,,,
29,"There are many people around us, but he took an interest in me and he is speaking to me in a creepy way",Playful teasing joking,True,1.0,1,0,0,around,,
30,She's helping me going through some troubles.,Playful teasing joking,False,0.75,0,1,0,,trouble,
31,I have a problem with the University and I am speaking with my parents,Playful teasing joking,False,0.0,0,0,0,,,
32,she's reassuring me about a situation.,Playful teasing joking,False,0.75,0,1,0,,about,
33,I'm feeling anxious about incoming deadlines,Playful teasing joking,False,0.75,0,1,0,,about,
34,a hand reaches to gently tap snother person's arm a few times,Playful teasing joking,True,1.0,1,0,0,gently,,
35,I feel sad,Playful teasing joking,False,0.0,0,0,0,,,
36,She is touching my forearm after a long heart to heart conversation.,Playful teasing joking,False,0.5,0,0,1,,,touch
37,I was unhappy and my mother said to me that all are ok,Playful teasing joking,False,0.0,0,0,0,,,
38,I am explaining something I find difficult at work,Playful teasing joking,False,0.5,0,0,1,,,work
