word,synset,definition,synonyms,closest_words,closest_words_with_distances
Watching,observation.n.02,the act of observing; taking a patient look,"observation, observance","monitoring, sighting, stargazing, look, landfall, glance, scrutiny, peek, squint, stare, evil eye, sightseeing, lookout, view, dekko, sensing, eye-beaming, side-glance, gaze, glare","monitoring (0.048), sighting (0.048), stargazing (0.048), look (0.053), landfall (0.091), glance (0.100), scrutiny (0.100), peek (0.100), squint (0.100), stare (0.100), evil eye (0.100), sightseeing (0.100), lookout (0.100), view (0.100), dekko (0.100), sensing (0.111), eye-beaming (0.143), side-glance (0.143), gaze (0.143), glare (0.143)"
Watching,watch.v.01,look attentively,watch,"witness, rubberneck, watch, observe, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","witness (0.333), rubberneck (0.333), watch (0.333), observe (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500)"
Watching,watch.v.03,see or watch,"watch, view, see, catch, take_in","visualize, spectate, preview, image, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","visualize (0.200), spectate (0.200), preview (0.200), image (0.333), entity (0.600), breathe (0.600), act (0.600), be active (0.600), oversleep (0.600), nod (0.600), fall asleep (0.600), go to bed (0.600), get up (0.600), wake (0.600), keep up (0.600), wear (0.600), lie in (0.600), carry to term (0.600), keep down (0.600), gag (0.600)"
Tv,television_receiver.n.01,an electronic device that receives television signals and displays them on a screen,"television_receiver, television, television_set, tv_set, idiot_box, boob_tube, telly, goggle_box","receiver, direction finder, radio receiver, satellite receiver, set, clock radio, crystal set, goniometer, heterodyne receiver, push-button radio, radio compass, transmitter, electronic equipment, jammer, radio transmitter, satellite transmitter, television transmitter, amplifier, audio system, cassette player","receiver (0.048), direction finder (0.091), radio receiver (0.091), satellite receiver (0.091), set (0.100), clock radio (0.130), crystal set (0.130), goniometer (0.130), heterodyne receiver (0.130), push-button radio (0.130), radio compass (0.130), transmitter (0.143), electronic equipment (0.158), jammer (0.182), radio transmitter (0.182), satellite transmitter (0.182), television transmitter (0.182), amplifier (0.200), audio system (0.200), cassette player (0.200)"
Movie,movie.n.01,a form of entertainment that enacts a story by sound and a sequence of images giving the illusion of continuous movement,"film, picture, moving_picture, moving-picture_show, motion_picture, motion-picture_show, picture_show, pic, flick","telefilm, feature, final cut, home movie, collage film, coming attraction, shoot-'em-up, short subject, documentary, cinema verite, film noir, skin flick, rough cut, silent movie, slow motion, talking picture, three-D, musical, product, show","telefilm (0.059), feature (0.059), final cut (0.059), home movie (0.059), collage film (0.059), coming attraction (0.059), shoot-'em-up (0.059), short subject (0.059), documentary (0.059), cinema verite (0.059), film noir (0.059), skin flick (0.059), rough cut (0.059), silent movie (0.059), slow motion (0.059), talking picture (0.059), three-D (0.059), musical (0.059), product (0.067), show (0.077)"
Show,N/A,N/A,N/A,N/A,N/A
Series,series.n.01,similar things placed in order or happening one after another,N/A,"Stations, chain, cordon, course, cycle, electromotive series, hierarchy, nexus, progression, rash, sequence, string, succession, wave train, helium group, actinide series, lanthanide series, ordering, gene, string","Stations (0.077), chain (0.077), cordon (0.077), course (0.077), cycle (0.077), electromotive series (0.077), hierarchy (0.077), nexus (0.077), progression (0.077), rash (0.077), sequence (0.077), string (0.077), succession (0.077), wave train (0.077), helium group (0.077), actinide series (0.077), lanthanide series (0.077), ordering (0.091), gene (0.143), string (0.143)"
Series,serial.n.01,a serialized set of programs,serial,"soap opera, tetralogy, broadcast, news program, rerun, talk show, television program, game show, episode, sustaining program, show, phone-in, colorcast, pilot program, quiz program, cliffhanger, television news, situation comedy, special, stage dancing","soap opera (0.059), tetralogy (0.059), broadcast (0.067), news program (0.125), rerun (0.125), talk show (0.125), television program (0.125), game show (0.125), episode (0.125), sustaining program (0.125), show (0.143), phone-in (0.176), colorcast (0.176), pilot program (0.176), quiz program (0.176), cliffhanger (0.176), television news (0.176), situation comedy (0.176), special (0.176), stage dancing (0.200)"
Netflix,N/A,N/A,N/A,N/A,N/A
Cartoon,cartoon.n.01,a humorous or satirical drawing published in a newspaper or magazine,sketch,"comic strip, wit, jeu d'esprit, bon mot, esprit de l'escalier, pungency, sarcasm, repartee, joke, caricature, fun, ribaldry, topper, message, mock-heroic, banter, belly laugh, dirty joke, ethnic joke, funny story","comic strip (0.077), wit (0.091), jeu d'esprit (0.167), bon mot (0.167), esprit de l'escalier (0.167), pungency (0.167), sarcasm (0.167), repartee (0.167), joke (0.167), caricature (0.167), fun (0.167), ribaldry (0.167), topper (0.167), message (0.200), mock-heroic (0.231), banter (0.231), belly laugh (0.231), dirty joke (0.231), ethnic joke (0.231), funny story (0.231)"
Couch,sofa.n.01,an upholstered seat for more than one person,"sofa, lounge","convertible, daybed, divan, love seat, settee, squab, seat, davenport, studio couch, bench, bench, box, box seat, chair, ottoman, Siege Perilous, stool, toilet seat, furniture, chesterfield","convertible (0.048), daybed (0.048), divan (0.048), love seat (0.048), settee (0.048), squab (0.048), seat (0.053), davenport (0.091), studio couch (0.091), bench (0.100), bench (0.100), box (0.100), box seat (0.100), chair (0.100), ottoman (0.100), Siege Perilous (0.100), stool (0.100), toilet seat (0.100), furniture (0.111), chesterfield (0.130)"
Sofa,sofa.n.01,an upholstered seat for more than one person,"couch, lounge","convertible, daybed, divan, love seat, settee, squab, seat, davenport, studio couch, bench, bench, box, box seat, chair, ottoman, Siege Perilous, stool, toilet seat, furniture, chesterfield","convertible (0.048), daybed (0.048), divan (0.048), love seat (0.048), settee (0.048), squab (0.048), seat (0.053), davenport (0.091), studio couch (0.091), bench (0.100), bench (0.100), box (0.100), box seat (0.100), chair (0.100), ottoman (0.100), Siege Perilous (0.100), stool (0.100), toilet seat (0.100), furniture (0.111), chesterfield (0.130)"
Bed,bed.n.01,a piece of furniture that provides a place to sleep,N/A,"berth, built-in bed, bunk, bunk bed, cot, couch, deathbed, double bed, four-poster, hammock, marriage bed, Murphy bed, plank-bed, platform bed, sickbed, single bed, sleigh bed, trundle bed, twin bed, water bed","berth (0.048), built-in bed (0.048), bunk (0.048), bunk bed (0.048), cot (0.048), couch (0.048), deathbed (0.048), double bed (0.048), four-poster (0.048), hammock (0.048), marriage bed (0.048), Murphy bed (0.048), plank-bed (0.048), platform bed (0.048), sickbed (0.048), single bed (0.048), sleigh bed (0.048), trundle bed (0.048), twin bed (0.048), water bed (0.048)"
Sitting,sitting.n.02,the act of assuming or maintaining a seated position,N/A,"motion, abduction, adduction, agitation, body English, circumduction, disturbance, fetal movement, flit, gesture, headshake, inclination, inversion, inversion, jerk, kick, kneel, lurch, eye movement, opening","motion (0.059), abduction (0.111), adduction (0.111), agitation (0.111), body English (0.111), circumduction (0.111), disturbance (0.111), fetal movement (0.111), flit (0.111), gesture (0.111), headshake (0.111), inclination (0.111), inversion (0.111), inversion (0.111), jerk (0.111), kick (0.111), kneel (0.111), lurch (0.111), eye movement (0.111), opening (0.111)"
Sitting,sit.v.01,be seated,"sit, sit_down","lounge, sprawl, perch, squat, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","lounge (0.333), sprawl (0.333), perch (0.333), squat (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500)"
