group_key,word,count,total_group_count,is_main,variation_rank
touching,touching,224,226,True,1
touching,touuching,1,226,False,2
touching,tuching,1,226,False,3
watching,watching,222,226,True,1
watching,whatching,1,226,False,2
watching,wathcing,1,226,False,3
watching,wathing,1,226,False,4
watching,wating,1,226,False,5
trying,trying,215,218,True,1
trying,triyng,1,218,False,2
trying,tryng,1,218,False,3
trying,tying,1,218,False,4
arm,arm,208,213,True,1
arm,arms,5,213,False,2
attention,attention,211,212,True,1
attention,attencion,1,212,False,2
touch,touch,103,204,True,1
touch,touch,93,204,False,2
touch,touchy,4,204,False,3
touch,tuch,1,204,False,4
touch,tousch,2,204,False,5
touch,touchs,1,204,False,6
friend,friend,174,203,True,1
friend,friends,23,203,False,2
friend,friendly,5,203,False,3
friend,frienfd,1,203,False,4
something,something,184,184,True,1
talking,talking,164,166,True,1
talking,talkin,1,166,False,2
talking,taliking,1,166,False,3
sitting,sitting,153,154,True,1
sitting,siting,1,154,False,2
person,person,132,153,True,1
person,persona,2,153,False,2
person,personal,14,153,False,3
person,persons,4,153,False,4
person,peron,1,153,False,5
get,get,149,151,True,1
get,gets,2,151,False,2
hand,hand,129,141,True,1
hand,hands,12,141,False,2
wants,wants,92,118,True,1
wants,want,19,118,False,2
wants,wanting,7,118,False,3
tv,tv,113,113,True,1
rubbing,rubbing,105,108,True,1
rubbing,rubing,3,108,False,2
child,child,97,100,True,1
child,children,2,100,False,2
child,chid,1,100,False,3
back,back,94,94,True,1
shoulder,shoulder,84,92,True,1
shoulder,shoulders,7,92,False,2
shoulder,shouder,1,92,False,3
someone,someone,91,91,True,1
movie,movie,89,89,True,1
partner,partner,83,87,True,1
partner,partener,1,87,False,2
partner,partnet,1,87,False,3
partner,parter,1,87,False,4
partner,partners,1,87,False,5
feel,feel,68,79,True,1
feel,feels,11,79,False,2
forearm,forearm,76,77,True,1
forearm,forarm,1,77,False,2
gentle,gentle,56,75,True,1
gentle,gentle,19,75,False,2
finger,finger,67,73,True,1
finger,fingers,5,73,False,2
finger,finnger,1,73,False,3
tapping,tapping,71,73,True,1
tapping,tapiing,1,73,False,2
tapping,taping,1,73,False,3
comfort,comfort,51,69,True,1
comfort,confort,5,69,False,2
comfort,comforted,8,69,False,3
comfort,comforts,4,69,False,4
comfort,conforts,1,69,False,5
comforting,comforting,64,66,True,1
comforting,conforting,2,66,False,2
like,like,58,62,True,1
like,likes,4,62,False,2
im,im,60,60,True,1
time,time,41,58,True,1
time,times,17,58,False,2
day,day,4,58,True,1
day,day,54,58,False,2
way,way,56,57,True,1
way,ways,1,57,False,2
conversation,conversation,57,57,True,1
doctor,doctor,53,56,True,1
doctor,doctors,2,56,False,2
doctor,doctot,1,56,False,3
sad,sad,56,56,True,1
work,work,52,52,True,1
couch,couch,50,50,True,1
ask,ask,22,50,True,1
ask,ask,28,50,False,2
family,family,48,49,True,1
family,familly,1,49,False,2
relaxing,relaxing,49,49,True,1
bed,bed,48,48,True,1
telling,telling,47,47,True,1
together,together,46,46,True,1
news,news,46,46,True,1
chilling,chilling,44,45,True,1
chilling,chillung,1,45,False,2
playing,playing,45,45,True,1
bad,bad,45,45,True,1
colleague,colleague,1,44,True,1
colleague,colleague,39,44,False,2
colleague,collegue,2,44,False,3
colleague,colleaue,1,44,False,4
colleague,colleagues,1,44,False,5
next,next,43,43,True,1
waiting,waiting,43,43,True,1
feeling,feeling,40,42,True,1
feeling,feelings,2,42,False,2
need,need,27,42,True,1
need,needs,15,42,False,2
leg,leg,40,42,True,1
leg,legs,2,42,False,2
stranger,stranger,36,40,True,1
stranger,strange,3,40,False,2
stranger,strangers,1,40,False,3
face,face,39,39,True,1
talk,talk,36,37,True,1
talk,talks,1,37,False,2
home,home,37,37,True,1
poking,poking,35,36,True,1
poking,pocking,1,36,False,2
situation,situation,33,35,True,1
situation,situational,1,35,False,2
situation,station,1,35,False,3
caress,caress,16,34,True,1
caress,carecing,1,34,False,2
caress,caresing,1,34,False,3
caress,caresses,12,34,False,4
caress,caressed,1,34,False,5
caress,caress,3,34,False,6
starts,starts,27,34,True,1
starts,start,7,34,False,2
upset,upset,4,33,True,1
upset,upset,29,33,False,2
one,one,33,33,True,1
cuddling,cuddling,31,32,True,1
cuddling,coudling,1,32,False,2
mother,mother,30,32,True,1
mother,aother,1,32,False,2
mother,mohter,1,32,False,3
happened,happened,25,32,True,1
happened,happens,4,32,False,2
happened,happen,2,32,False,3
happened,happend,1,32,False,4
sofa,sofa,32,32,True,1
going,going,32,32,True,1
life,life,28,32,True,1
life,lives,3,32,False,2
life,lifes,1,32,False,3
nt,nt,32,32,True,1
table,table,28,31,True,1
table,able,1,31,False,2
table,tables,2,31,False,3
show,show,31,31,True,1
working,working,1,30,True,1
working,working,29,30,False,2
walk,walk,22,30,True,1
walk,walk,5,30,False,2
walk,walks,3,30,False,3
around,around,30,30,True,1
video,video,26,30,True,1
video,videos,4,30,False,2
take,take,10,29,True,1
take,taking,17,29,False,2
take,takes,2,29,False,3
member,member,27,28,True,1
member,members,1,28,False,2
getting,getting,28,28,True,1
chat,chat,21,28,True,1
chat,chat,7,28,False,2
girlfriend,girlfriend,26,27,True,1
girlfriend,girlfirend,1,27,False,2
pain,pain,27,27,True,1
touched,touched,25,27,True,1
touched,toutches,1,27,False,2
touched,touhches,1,27,False,3
skin,skin,26,26,True,1
patting,patting,22,26,True,1
patting,petting,4,26,False,2
know,know,25,26,True,1
know,knows,1,26,False,2
romantic,romantic,25,25,True,1
try,try,12,25,True,1
try,tries,13,25,False,2
make,make,25,25,True,1
comes,comes,21,25,True,1
comes,come,4,25,False,2
behind,behind,25,25,True,1
rub,rub,16,25,True,1
rub,rub,9,25,False,2
lying,lying,24,24,True,1
maybe,maybe,24,24,True,1
checking,checking,24,24,True,1
head,head,24,24,True,1
asleep,asleep,16,24,True,1
asleep,sleep,8,24,False,2
massage,massage,19,24,True,1
massage,massages,3,24,False,2
massage,massaged,2,24,False,3
catch,catch,7,22,True,1
