response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,Pain injury soreness,False,0.0,0,0,0,,,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,Pain injury soreness,False,0.5,0,0,1,,,touch
3,My girlfriend is touching my neck,Pain injury soreness,False,0.5,0,0,1,,,touch
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",Pain injury soreness,False,0.5,0,0,1,,,touch
5,making fun,Pain injury soreness,False,0.0,0,0,0,,,
6,we are talking and my partner is massaging my hand,Pain injury soreness,False,0.0,0,0,0,,,
7,we are watching TV,Pain injury soreness,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,Pain injury soreness,False,0.0,0,0,0,,,
9,we are sleeping,Pain injury soreness,False,0.0,0,0,0,,,
10,my mother is touching my back,Pain injury soreness,False,0.5,0,0,1,,,touch
11,doctor is checking for muscle tenderness,Pain injury soreness,False,0.0,0,0,0,,,
12,"We're in class, being bored during a Philosophy lesson",Pain injury soreness,False,0.0,0,0,0,,,
13,my child is trying to get my attention,Pain injury soreness,False,0.0,0,0,0,,,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,Pain injury soreness,True,1.5,1,0,1,bite,,bite
15,My daughter is rubbing my arm with her finder,Pain injury soreness,False,0.0,0,0,0,,,
16,My mom is cleaning something of my face,Pain injury soreness,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",Pain injury soreness,False,0.0,0,0,0,,,
18,Sat on the couch watching tv,Pain injury soreness,False,0.0,0,0,0,,,
19,We are watching movie and im begin touched pretty same as on video but maybe slower,Pain injury soreness,False,0.5,0,0,1,,,touch
20,They are trying to get my attention,Pain injury soreness,False,0.0,0,0,0,,,
21,He is trying to get my attention,Pain injury soreness,False,0.0,0,0,0,,,
22,Playing pretend doctors and nurses,Pain injury soreness,False,0.0,0,0,0,,,
23,The person is touching me to get my attention,Pain injury soreness,False,0.5,0,0,1,,,touch
24,They are applying pressure to my arm while rubbing up and down,Pain injury soreness,False,0.0,0,0,0,,,
25,We are sitting on the couch watching a movie,Pain injury soreness,False,0.0,0,0,0,,,
26,"The music is loud, we are dancing and singing",Pain injury soreness,False,0.0,0,0,0,,,
27,daughter wants to ask for something,Pain injury soreness,False,0.0,0,0,0,,,
28,My romantic partner touches my arm exactly as shown in the video at her/my home,Pain injury soreness,False,0.5,0,0,1,,,touch
29,watching some video on tv or a film on netflix.,Pain injury soreness,False,0.0,0,0,0,,,
30,My arm is being gently rubbed,Pain injury soreness,False,0.0,0,0,0,,,
31,"I'm sleeping or dozing, not paying attention",Pain injury soreness,False,0.0,0,0,0,,,
32,playing with a kid,Pain injury soreness,False,0.0,0,0,0,,,
33,A doctor is conducting a check-up,Pain injury soreness,False,0.0,0,0,0,,,
34,we're spending our break time in leisure together,Pain injury soreness,False,0.75,0,1,0,,break,
35,She's trying to tease me to do something else.,Pain injury soreness,False,0.0,0,0,0,,,
36,The girlfriend is scrubbing or rubbing my chest in a romantic way,Pain injury soreness,False,0.0,0,0,0,,,
37,I was going for a regular check-up and to get my vitals checked.,Pain injury soreness,False,0.0,0,0,0,,,
38,"My son is asking me about something he wants, either a toy or a specific snack",Pain injury soreness,False,0.0,0,0,0,,,
39,she tries to relax me,Pain injury soreness,False,0.0,0,0,0,,,
40,being touch with just one finger,Pain injury soreness,False,0.5,0,0,1,,,touch
41,They are helping me calm down after I've had an anxiety attack.,Pain injury soreness,False,0.0,0,0,0,,,
42,kid is just touching while trying to get attention,Pain injury soreness,False,0.5,0,0,1,,,touch
43,"touching my arm, could be on the current topic being discussed",Pain injury soreness,False,0.5,0,0,1,,,touch
44,They are caresing me,Pain injury soreness,False,0.0,0,0,0,,,
45,Someone is aggressively pressing their finger into my arm,Pain injury soreness,False,0.0,0,0,0,,,
46,my friend wants to show me a cool trick with human body she just learnt,Pain injury soreness,False,0.0,0,0,0,,,
47,I am at the computer answering this survey while i am waiting for my lunch.,Pain injury soreness,False,0.5,0,0,1,,,lunch
48,the stranger and I are talking,Pain injury soreness,False,0.0,0,0,0,,,
49,having argument,Pain injury soreness,False,0.0,0,0,0,,,
50,i'm distracted scrolling through my phone,Pain injury soreness,False,0.0,0,0,0,,,
51,We are at a playground.,Pain injury soreness,False,0.0,0,0,0,,,
52,we are having a dinner,Pain injury soreness,False,0.0,0,0,0,,,
53,my sister is petting my forearm,Pain injury soreness,False,0.0,0,0,0,,,
54,"I am napping on the couch, and my partner is waking me up softly",Pain injury soreness,False,0.5,0,0,1,,,wake
55,Me and my partner are watching a movie.,Pain injury soreness,False,0.0,0,0,0,,,
56,normal relaxing time at home watching,Pain injury soreness,False,0.0,0,0,0,,,
57,my mother is asking me a question,Pain injury soreness,False,0.0,0,0,0,,,
58,touching and stroking of the arm,Pain injury soreness,False,0.5,0,0,1,,,touch
59,My mother is rubbing cream on my stomach,Pain injury soreness,False,0.0,0,0,0,,,
60,I have been told that my skin looks good and they want to check it out.,Pain injury soreness,False,0.5,0,0,1,,,skin
61,I'm riding the bus and a stranger sat next to me and touched my arm like the video.,Pain injury soreness,False,0.5,0,0,1,,,touch
62,It feels weird being touched like that. It feels like something your romantic partner would do and not colleague.,Pain injury soreness,False,0.5,0,0,1,,,touch
63,I am sitting on a chair with my feet elevated and the masseuse is sitting in front of me and rubbing my feet.,Pain injury soreness,False,0.0,0,0,0,,,
64,They are checking my blood,Pain injury soreness,False,0.0,0,0,0,,,
65,Socialisng,Pain injury soreness,False,0.0,0,0,0,,,
66,The nurse is applying pressure and rubbing with wool soaked with a numbing agent,Pain injury soreness,True,1.0,1,0,0,numb,,
67,she is rubbing my forearm with her index finger,Pain injury soreness,False,0.0,0,0,0,,,
68,playing with my face,Pain injury soreness,False,0.0,0,0,0,,,
69,My nephew is trying to get me to get up and play with him.,Pain injury soreness,False,0.5,0,0,1,,,get up
70,"talking, joking, laughing, gossiping",Pain injury soreness,False,0.0,0,0,0,,,
71,he comes next to me and touching me,Pain injury soreness,False,0.5,0,0,1,,,touch
72,Touching something irregular on the skin,Pain injury soreness,True,1.0,0,0,2,,,"skin, touch"
73,my son wants my attention and rubs my leg in order for me to acknowledge him,Pain injury soreness,False,0.0,0,0,0,,,
74,I'm being examined,Pain injury soreness,False,0.0,0,0,0,,,
75,It' afternoon or evening and we are chilling together,Pain injury soreness,False,0.75,0,1,0,,chill,
76,He's massaging me,Pain injury soreness,False,0.0,0,0,0,,,
77,They just randomly started doing that,Pain injury soreness,False,0.0,0,0,0,,,
78,Rubbing my arm with their finger as a sign of affection,Pain injury soreness,False,0.0,0,0,0,,,
79,he's trying to be affectionate,Pain injury soreness,False,0.0,0,0,0,,,
80,My partner is showing care,Pain injury soreness,False,0.0,0,0,0,,,
81,We're eating and talking,Pain injury soreness,True,1.0,0,0,2,,,"eat, eating"
82,We have been seated next to each other casually,Pain injury soreness,False,0.0,0,0,0,,,
83,Spending quality time with romantic partner alone,Pain injury soreness,False,0.0,0,0,0,,,
84,"the touch is firm, it wants to communicate something to me, not necessarily something nice",Pain injury soreness,False,0.5,0,0,1,,,touch
85,Watching a movie/ hanging out,Pain injury soreness,False,0.0,0,0,0,,,
86,"He is touching my neck, that back and forth rub relaxes me",Pain injury soreness,False,0.5,0,0,1,,,touch
87,An unknown man stopped me in the street wanting to talk to me.,Pain injury soreness,False,0.0,0,0,0,,,
88,"A romantic moment on the couch, my wife beckons me wanting to be hugged, feel closeness",Pain injury soreness,False,0.0,0,0,0,,,
89,the doctor examines my stomach,Pain injury soreness,False,0.0,0,0,0,,,
90,"my colleague is trying to be intimate with me, trying to gain confidence so she can take to bed",Pain injury soreness,False,0.5,0,0,1,,,gain
