response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,Getting attention_communication,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,Getting attention_communication,True,1.5,1,0,1,show,,touch
3,we are talking about our upcoming exams and projects,Getting attention_communication,True,3.0,1,2,1,talk,"talk, talking",project
4,The friend is comforting me.,Getting attention_communication,False,0.0,0,0,0,,,
5,We are talking,Getting attention_communication,True,2.5,1,2,0,talk,"talk, talking",
6,I am sad and my mom tries to comfort me.,Getting attention_communication,False,0.0,0,0,0,,,
7,we are having a conversation,Getting attention_communication,False,0.5,0,0,1,,,conversation
8,we are both sitting in the kitchen table,Getting attention_communication,False,0.0,0,0,0,,,
9,The other person is trying to comfort me.,Getting attention_communication,False,0.0,0,0,0,,,
10,He touching me,Getting attention_communication,False,0.5,0,0,1,,,touch
11,I received some bad news,Getting attention_communication,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,Getting attention_communication,True,2.5,1,2,0,talk,"talk, talking",
13,We are in class and my friend touches me during a lecture to make me laugh,Getting attention_communication,False,0.5,0,0,1,,,touch
14,Grounding technique,Getting attention_communication,False,0.5,0,0,1,,,ground
15,Wife is putting her hand on my shoulder.,Getting attention_communication,False,0.0,0,0,0,,,
16,I was walking down the street and my acquaintance way walking  behind my back,Getting attention_communication,False,0.5,0,0,1,,,down
17,We are sitting and talking. She touched my knee,Getting attention_communication,True,3.0,1,2,1,talk,"talk, talking",touch
18,Maybe i'm describing something that worries me,Getting attention_communication,False,0.0,0,0,0,,,
19,we are sitting in the living room,Getting attention_communication,False,0.0,0,0,0,,,
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",Getting attention_communication,True,1.5,0,0,3,,,"feel, feeling, touch"
21,I've received news that I did not get the job I wanted.,Getting attention_communication,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,Getting attention_communication,False,0.5,0,0,1,,,conversation
23,My friend is comforting me after I just received news of the passing of a loved one.,Getting attention_communication,True,1.0,1,0,0,pass,,
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,Getting attention_communication,True,1.0,0,0,2,,,"dress, touch"
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,Getting attention_communication,True,2.0,0,0,4,,,"feel, feeling, gentle, touch"
26,We are chilling on the bed,Getting attention_communication,False,0.0,0,0,0,,,
27,The person is asking me if everything is okay with my life.,Getting attention_communication,True,1.0,1,0,0,ask,,
28,She is talking to me,Getting attention_communication,True,2.5,1,2,0,talk,"talk, talking",
29,"There are many people around us, but he took an interest in me and he is speaking to me in a creepy way",Getting attention_communication,True,1.0,1,0,0,speak,,
30,She's helping me going through some troubles.,Getting attention_communication,False,0.0,0,0,0,,,
31,I have a problem with the University and I am speaking with my parents,Getting attention_communication,True,1.0,1,0,0,speak,,
32,she's reassuring me about a situation.,Getting attention_communication,False,0.5,0,0,1,,,situation
33,I'm feeling anxious about incoming deadlines,Getting attention_communication,True,1.0,0,0,2,,,"feel, feeling"
34,a hand reaches to gently tap snother person's arm a few times,Getting attention_communication,True,2.75,1,1,2,tap,tap,"reach, tap"
