response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,medical examination therapy,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,medical examination therapy,False,0.0,0,0,0,,,
3,we are talking about our upcoming exams and projects,medical examination therapy,True,1.75,1,1,0,exam,exam,project
4,The friend is comforting me.,medical examination therapy,False,0.0,0,0,0,,,
5,We are talking,medical examination therapy,False,0.0,0,0,0,,,
6,I am sad and my mom tries to comfort me.,medical examination therapy,False,0.0,0,0,0,,,
7,we are having a conversation,medical examination therapy,False,0.0,0,0,0,,,
8,we are both sitting in the kitchen table,medical examination therapy,False,0.0,0,0,0,,,"sit, sitting"
9,The other person is trying to comfort me.,medical examination therapy,False,0.0,0,0,0,,,
10,He touching me,medical examination therapy,False,0.0,0,0,0,,,
11,I received some bad news,medical examination therapy,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,medical examination therapy,False,0.0,0,0,0,,,
13,We are in class and my friend touches me during a lecture to make me laugh,medical examination therapy,False,0.0,0,0,0,,,
14,Grounding technique,medical examination therapy,False,0.0,0,0,0,,,
15,Wife is putting her hand on my shoulder.,medical examination therapy,False,0.0,0,0,0,,,
16,I was walking down the street and my acquaintance way walking  behind my back,medical examination therapy,False,0.0,0,0,0,,,
17,We are sitting and talking. She touched my knee,medical examination therapy,False,0.0,0,0,0,,,"sit, sitting"
18,Maybe i'm describing something that worries me,medical examination therapy,False,0.0,0,0,0,,,
19,we are sitting in the living room,medical examination therapy,False,0.0,0,0,0,,,"sit, sitting"
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",medical examination therapy,False,0.75,0,1,0,,feel,
21,I've received news that I did not get the job I wanted.,medical examination therapy,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,medical examination therapy,False,0.0,0,0,0,,,
23,My friend is comforting me after I just received news of the passing of a loved one.,medical examination therapy,False,0.0,0,0,0,,,
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,medical examination therapy,False,0.0,0,0,0,,,dress
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,medical examination therapy,False,0.75,0,1,0,,feel,
26,We are chilling on the bed,medical examination therapy,False,0.0,0,0,0,,,
27,The person is asking me if everything is okay with my life.,medical examination therapy,False,0.0,0,0,0,,,ask
28,She is talking to me,medical examination therapy,False,0.0,0,0,0,,,
29,"There are many people around us, but he took an interest in me and he is speaking to me in a creepy way",medical examination therapy,False,0.0,0,0,0,,,
30,She's helping me going through some troubles.,medical examination therapy,False,0.0,0,0,0,,,
31,I have a problem with the University and I am speaking with my parents,medical examination therapy,False,0.0,0,0,0,,,
32,she's reassuring me about a situation.,medical examination therapy,False,0.0,0,0,0,,,
33,I'm feeling anxious about incoming deadlines,medical examination therapy,False,0.75,0,1,0,,feel,
34,a hand reaches to gently tap snother person's arm a few times,medical examination therapy,False,0.0,0,0,0,,,reach
35,I feel sad,medical examination therapy,False,0.75,0,1,0,,feel,
36,She is touching my forearm after a long heart to heart conversation.,medical examination therapy,False,0.0,0,0,0,,,
37,I was unhappy and my mother said to me that all are ok,medical examination therapy,False,0.0,0,0,0,,,
38,I am explaining something I find difficult at work,medical examination therapy,False,0.0,0,0,0,,,
39,My wife is comforting me after some annoyance,medical examination therapy,False,0.0,0,0,0,,,
40,My colleague is trying to touch  me in a way that will lead to sex.,medical examination therapy,False,0.0,0,0,0,,,
41,someone is touching me tenderly,medical examination therapy,False,0.0,0,0,0,,,
42,having a deep conversation,medical examination therapy,False,0.0,0,0,0,,,
43,I have just finished my homework that I was doing next to him while he drinks his coffee.,medical examination therapy,False,0.0,0,0,0,,,
44,We could be watching tv and sitting on the couch or lying on the bed,medical examination therapy,False,0.0,0,0,0,,,"sit, sitting"
45,"We are in class, the professor tells us that in this term things may get difficult due to country's energy crisis, my friend touch me in the hand to comfort me and let me know that we are in this situation together.",medical examination therapy,False,0.0,0,0,0,,,thing
46,We are lying next to eah other in the evening. She grabs my hand like this as she often does in the evening before going to sleep.,medical examination therapy,False,0.0,0,0,0,,,
47,i´m telling her something that happens to me,medical examination therapy,False,0.0,0,0,0,,,
48,My friend is trying to comfort me as I just heard some bad news,medical examination therapy,False,0.0,0,0,0,,,hear
49,We are talking about our day and I'm telling her I had it rough at work today.,medical examination therapy,False,0.0,0,0,0,,,
50,I'm anxious for a medical exam,medical examination therapy,True,4.25,2,3,0,"exam, medical","exam, medical exam, medical_exam",
51,I did a good job fixing a machine for my dad,medical examination therapy,False,0.0,0,0,0,,,fix
52,She is touching me after me giving her good news,medical examination therapy,False,0.0,0,0,0,,,
53,Were watching a scary movie.,medical examination therapy,False,0.0,0,0,0,,,
54,We are having an emotional conversation in the garden.,medical examination therapy,False,0.0,0,0,0,,,
55,We are talking about challenges in our life,medical examination therapy,False,0.0,0,0,0,,,
56,im recieving a massage and she is massaging calmly my back,medical examination therapy,True,1.0,1,0,0,massage,,massage
57,My housband want to tell me something without words.,medical examination therapy,False,0.0,0,0,0,,,
