response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,Child-related,False,0.0,0,0,0,,,
2,My mum cames at me and just shows me how much she loves using her touch,Child-related,True,1.0,1,0,0,show,,
3,we are talking about our upcoming exams and projects,Child-related,False,0.5,0,0,1,,,project
4,The friend is comforting me.,Child-related,False,0.5,0,0,1,,,comfort
5,We are talking,Child-related,False,0.0,0,0,0,,,
6,I am sad and my mom tries to comfort me.,Child-related,False,0.5,0,0,1,,,comfort
7,we are having a conversation,Child-related,False,0.0,0,0,0,,,
8,we are both sitting in the kitchen table,Child-related,False,0.0,0,0,0,,,
9,The other person is trying to comfort me.,Child-related,True,1.0,0,0,2,,,"comfort, person"
10,He touching me,Child-related,False,0.0,0,0,0,,,
11,I received some bad news,Child-related,False,0.0,0,0,0,,,
12,I'm talking about something important or hard for me,Child-related,False,0.0,0,0,0,,,
13,We are in class and my friend touches me during a lecture to make me laugh,Child-related,False,0.0,0,0,0,,,
14,Grounding technique,Child-related,False,0.0,0,0,0,,,
15,Wife is putting her hand on my shoulder.,Child-related,False,0.5,0,0,1,,,hand
16,I was walking down the street and my acquaintance way walking  behind my back,Child-related,False,0.5,0,0,1,,,down
17,We are sitting and talking. She touched my knee,Child-related,False,0.0,0,0,0,,,
18,Maybe i'm describing something that worries me,Child-related,False,0.0,0,0,0,,,
19,we are sitting in the living room,Child-related,False,0.0,0,0,0,,,
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",Child-related,False,0.0,0,0,0,,,
21,I've received news that I did not get the job I wanted.,Child-related,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,Child-related,False,0.0,0,0,0,,,
23,My friend is comforting me after I just received news of the passing of a loved one.,Child-related,False,0.5,0,0,1,,,comfort
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,Child-related,False,0.0,0,0,0,,,
25,I went to my mother's room after feeling bad or stuck in my life. She then proceeds to comfort me both with her words and a gentle touch on my shoulder.,Child-related,False,0.5,0,0,1,,,comfort
26,We are chilling on the bed,Child-related,False,0.0,0,0,0,,,
27,The person is asking me if everything is okay with my life.,Child-related,True,1.5,1,0,1,ask,,person
28,She is talking to me,Child-related,False,0.0,0,0,0,,,
29,"There are many people around us, but he took an interest in me and he is speaking to me in a creepy way",Child-related,False,0.0,0,0,0,,,
30,She's helping me going through some troubles.,Child-related,True,1.0,1,0,0,help,,
31,I have a problem with the University and I am speaking with my parents,Child-related,False,0.5,0,0,1,,,parent
32,she's reassuring me about a situation.,Child-related,False,0.0,0,0,0,,,
33,I'm feeling anxious about incoming deadlines,Child-related,False,0.0,0,0,0,,,
34,a hand reaches to gently tap snother person's arm a few times,Child-related,True,2.0,1,0,2,tap,,"hand, reach"
35,I feel sad,Child-related,False,0.0,0,0,0,,,
36,She is touching my forearm after a long heart to heart conversation.,Child-related,False,0.0,0,0,0,,,
37,I was unhappy and my mother said to me that all are ok,Child-related,False,0.0,0,0,0,,,
38,I am explaining something I find difficult at work,Child-related,False,0.0,0,0,0,,,
39,My wife is comforting me after some annoyance,Child-related,True,1.0,0,0,2,,,"annoyance, comfort"
40,My colleague is trying to touch  me in a way that will lead to sex.,Child-related,False,0.0,0,0,0,,,
41,someone is touching me tenderly,Child-related,False,0.0,0,0,0,,,
42,having a deep conversation,Child-related,False,0.0,0,0,0,,,
43,I have just finished my homework that I was doing next to him while he drinks his coffee.,Child-related,False,0.0,0,0,0,,,
44,We could be watching tv and sitting on the couch or lying on the bed,Child-related,False,0.0,0,0,0,,,
45,"We are in class, the professor tells us that in this term things may get difficult due to country's energy crisis, my friend touch me in the hand to comfort me and let me know that we are in this situation together.",Child-related,True,1.0,0,0,2,,,"comfort, hand"
46,We are lying next to eah other in the evening. She grabs my hand like this as she often does in the evening before going to sleep.,Child-related,False,0.5,0,0,1,,,hand
