response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,Affection closeness,True,1.0,1,0,0,cuddle,,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,Affection closeness,False,0.0,0,0,0,,,
3,My girlfriend is touching my neck,Affection closeness,False,0.0,0,0,0,,,
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",Affection closeness,False,0.0,0,0,0,,,
5,making fun,Affection closeness,False,0.0,0,0,0,,,
6,we are talking and my partner is massaging my hand,Affection closeness,True,1.0,1,0,0,partner,,
7,we are watching TV,Affection closeness,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,Affection closeness,False,0.0,0,0,0,,,
9,we are sleeping,Affection closeness,False,0.0,0,0,0,,,
10,my mother is touching my back,Affection closeness,False,0.0,0,0,0,,,
11,doctor is checking for muscle tenderness,Affection closeness,False,0.75,0,1,0,,tenderness,
12,"We're in class, being bored during a Philosophy lesson",Affection closeness,False,0.0,0,0,0,,,
13,my child is trying to get my attention,Affection closeness,False,0.0,0,0,0,,,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,Affection closeness,False,0.0,0,0,0,,,
15,My daughter is rubbing my arm with her finder,Affection closeness,True,1.75,1,1,0,rubbing,rub,
16,My mom is cleaning something of my face,Affection closeness,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",Affection closeness,False,0.0,0,0,0,,,
18,Sat on the couch watching tv,Affection closeness,False,0.0,0,0,0,,,
19,We are watching movie and im begin touched pretty same as on video but maybe slower,Affection closeness,False,0.0,0,0,0,,,
20,They are trying to get my attention,Affection closeness,False,0.0,0,0,0,,,
21,He is trying to get my attention,Affection closeness,False,0.0,0,0,0,,,
22,Playing pretend doctors and nurses,Affection closeness,False,0.0,0,0,0,,,
23,The person is touching me to get my attention,Affection closeness,False,0.0,0,0,0,,,
24,They are applying pressure to my arm while rubbing up and down,Affection closeness,True,1.75,1,1,0,rubbing,rub,
25,We are sitting on the couch watching a movie,Affection closeness,False,0.0,0,0,0,,,
26,"The music is loud, we are dancing and singing",Affection closeness,False,0.0,0,0,0,,,
27,daughter wants to ask for something,Affection closeness,False,0.0,0,0,0,,,
28,My romantic partner touches my arm exactly as shown in the video at her/my home,Affection closeness,True,2.0,2,0,0,"partner, romantic",,
29,watching some video on tv or a film on netflix.,Affection closeness,False,0.0,0,0,0,,,
30,My arm is being gently rubbed,Affection closeness,False,0.75,0,1,0,,rub,
31,"I'm sleeping or dozing, not paying attention",Affection closeness,False,0.0,0,0,0,,,
32,playing with a kid,Affection closeness,False,0.0,0,0,0,,,
33,A doctor is conducting a check-up,Affection closeness,False,0.0,0,0,0,,,
34,we're spending our break time in leisure together,Affection closeness,True,1.0,1,0,0,together,,
35,She's trying to tease me to do something else.,Affection closeness,False,0.0,0,0,0,,,
36,The girlfriend is scrubbing or rubbing my chest in a romantic way,Affection closeness,True,2.75,2,1,0,"romantic, rubbing",rub,
37,I was going for a regular check-up and to get my vitals checked.,Affection closeness,False,0.0,0,0,0,,,
38,"My son is asking me about something he wants, either a toy or a specific snack",Affection closeness,False,0.0,0,0,0,,,
39,she tries to relax me,Affection closeness,False,0.0,0,0,0,,,
40,being touch with just one finger,Affection closeness,False,0.0,0,0,0,,,
41,They are helping me calm down after I've had an anxiety attack.,Affection closeness,False,0.0,0,0,0,,,
42,kid is just touching while trying to get attention,Affection closeness,False,0.0,0,0,0,,,
43,"touching my arm, could be on the current topic being discussed",Affection closeness,False,0.0,0,0,0,,,
44,They are caresing me,Affection closeness,False,0.0,0,0,0,,,
45,Someone is aggressively pressing their finger into my arm,Affection closeness,False,0.0,0,0,0,,,
46,my friend wants to show me a cool trick with human body she just learnt,Affection closeness,False,0.0,0,0,0,,,
47,I am at the computer answering this survey while i am waiting for my lunch.,Affection closeness,False,0.0,0,0,0,,,
48,the stranger and I are talking,Affection closeness,False,0.0,0,0,0,,,
49,having argument,Affection closeness,False,0.0,0,0,0,,,
50,i'm distracted scrolling through my phone,Affection closeness,False,0.0,0,0,0,,,
51,We are at a playground.,Affection closeness,False,0.0,0,0,0,,,
52,we are having a dinner,Affection closeness,False,0.0,0,0,0,,,
53,my sister is petting my forearm,Affection closeness,True,1.0,1,0,0,pet,,
54,"I am napping on the couch, and my partner is waking me up softly",Affection closeness,True,1.0,1,0,0,partner,,
55,Me and my partner are watching a movie.,Affection closeness,True,1.0,1,0,0,partner,,
56,normal relaxing time at home watching,Affection closeness,False,0.0,0,0,0,,,
57,my mother is asking me a question,Affection closeness,False,0.0,0,0,0,,,
58,touching and stroking of the arm,Affection closeness,True,1.0,1,0,0,stroke,,
59,My mother is rubbing cream on my stomach,Affection closeness,True,1.75,1,1,0,rubbing,rub,
60,I have been told that my skin looks good and they want to check it out.,Affection closeness,False,0.0,0,0,0,,,
61,I'm riding the bus and a stranger sat next to me and touched my arm like the video.,Affection closeness,False,0.75,0,1,0,,bus,
62,It feels weird being touched like that. It feels like something your romantic partner would do and not colleague.,Affection closeness,True,2.0,2,0,0,"partner, romantic",,
63,I am sitting on a chair with my feet elevated and the masseuse is sitting in front of me and rubbing my feet.,Affection closeness,True,1.75,1,1,0,rubbing,rub,
64,They are checking my blood,Affection closeness,False,0.0,0,0,0,,,
65,Socialisng,Affection closeness,False,0.0,0,0,0,,,
66,The nurse is applying pressure and rubbing with wool soaked with a numbing agent,Affection closeness,True,1.75,1,1,0,rubbing,rub,
67,she is rubbing my forearm with her index finger,Affection closeness,True,1.75,1,1,0,rubbing,rub,
68,playing with my face,Affection closeness,False,0.0,0,0,0,,,
69,My nephew is trying to get me to get up and play with him.,Affection closeness,False,0.0,0,0,0,,,
70,"talking, joking, laughing, gossiping",Affection closeness,False,0.0,0,0,0,,,
71,he comes next to me and touching me,Affection closeness,False,0.0,0,0,0,,,
72,Touching something irregular on the skin,Affection closeness,False,0.0,0,0,0,,,
73,my son wants my attention and rubs my leg in order for me to acknowledge him,Affection closeness,False,0.75,0,1,0,,rub,
74,I'm being examined,Affection closeness,False,0.0,0,0,0,,,
75,It' afternoon or evening and we are chilling together,Affection closeness,True,1.0,1,0,0,together,,
76,He's massaging me,Affection closeness,False,0.0,0,0,0,,,
77,They just randomly started doing that,Affection closeness,False,0.0,0,0,0,,,
78,Rubbing my arm with their finger as a sign of affection,Affection closeness,True,2.75,2,1,0,"affection, rubbing",rub,
79,he's trying to be affectionate,Affection closeness,True,1.0,1,0,0,affectionate,,
80,My partner is showing care,Affection closeness,True,1.0,1,0,0,partner,,
81,We're eating and talking,Affection closeness,False,0.0,0,0,0,,,
82,We have been seated next to each other casually,Affection closeness,False,0.0,0,0,0,,,
83,Spending quality time with romantic partner alone,Affection closeness,True,2.0,2,0,0,"partner, romantic",,
84,"the touch is firm, it wants to communicate something to me, not necessarily something nice",Affection closeness,False,0.0,0,0,0,,,
85,Watching a movie/ hanging out,Affection closeness,False,0.0,0,0,0,,,
86,"He is touching my neck, that back and forth rub relaxes me",Affection closeness,False,0.75,0,1,0,,rub,
87,An unknown man stopped me in the street wanting to talk to me.,Affection closeness,False,0.0,0,0,0,,,
88,"A romantic moment on the couch, my wife beckons me wanting to be hugged, feel closeness",Affection closeness,True,3.0,3,0,0,"closeness, hug, romantic",,
89,the doctor examines my stomach,Affection closeness,False,0.0,0,0,0,,,
90,"my colleague is trying to be intimate with me, trying to gain confidence so she can take to bed",Affection closeness,True,1.0,1,0,0,intimate,,
91,we are alone and in a close situation without strangers around,Affection closeness,True,1.0,1,0,0,close,,
92,"We are both seated together on the sofa/couch and he is rubbing my hand, just playfully.",Affection closeness,True,2.75,2,1,0,"rubbing, together",rub,
93,potrzeba kontaktu fizycznego,Affection closeness,False,0.0,0,0,0,,,
94,The doctor checks if my back is straight,Affection closeness,False,0.0,0,0,0,,,
95,The doctor is rubbing their hands in my back.,Affection closeness,True,1.75,1,1,0,rubbing,rub,
96,its tea time and we are sitting and talking about things in general,Affection closeness,False,0.0,0,0,0,,,
97,Sitting around a desk having a meeting and taking notes.,Affection closeness,False,0.0,0,0,0,,,
98,A child is aggressively touching my arm,Affection closeness,False,0.0,0,0,0,,,
99,My mother is rubbing something off my face,Affection closeness,True,1.75,1,1,0,rubbing,rub,
100,rubbing arm with finger,Affection closeness,True,1.75,1,1,0,rubbing,rub,
101,simply having a rather boring class,Affection closeness,False,0.0,0,0,0,,,
102,My daughter is watching TV,Affection closeness,False,0.0,0,0,0,,,
