response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,we are cuddling,medical examination therapy,False,0.0,0,0,0,,,
2,I'm sitting on the couch in the living room with my headsets. I'm focusing on the movie I'm watching and my mother touches me on my shoulder.,medical examination therapy,True,1.0,0,0,2,,,"sit, sitting"
3,My girlfriend is touching my neck,medical examination therapy,False,0.0,0,0,0,,,
4,"We are playing a board game, my arm is on the table, my girlfriend is in front of me with her arm half extended as to reach my forearm and touch it.",medical examination therapy,False,0.5,0,0,1,,,reach
5,making fun,medical examination therapy,False,0.0,0,0,0,,,
6,we are talking and my partner is massaging my hand,medical examination therapy,True,1.5,1,0,1,massage,,massage
7,we are watching TV,medical examination therapy,False,0.0,0,0,0,,,
8,The stranger (a man) is trying to flirt but being weird and creepy,medical examination therapy,False,0.0,0,0,0,,,
9,we are sleeping,medical examination therapy,False,0.0,0,0,0,,,
10,my mother is touching my back,medical examination therapy,False,0.0,0,0,0,,,
11,doctor is checking for muscle tenderness,medical examination therapy,True,2.5,2,0,1,"check, doctor",,doctor
12,"We're in class, being bored during a Philosophy lesson",medical examination therapy,False,0.0,0,0,0,,,
13,my child is trying to get my attention,medical examination therapy,False,0.0,0,0,0,,,
14,I’m feeling a bit stressed or uneasy so the therapist is trying methods to calm me down.,medical examination therapy,True,1.75,1,1,0,therapist,feel,
15,My daughter is rubbing my arm with her finder,medical examination therapy,False,0.0,0,0,0,,,
16,My mom is cleaning something of my face,medical examination therapy,False,0.0,0,0,0,,,
17,"He's next to me, doing this, even though I don't like this type of strong press over my arm.",medical examination therapy,True,1.75,1,1,0,press,press,
18,Sat on the couch watching tv,medical examination therapy,False,0.5,0,0,1,,,sit
19,We are watching movie and im begin touched pretty same as on video but maybe slower,medical examination therapy,False,0.0,0,0,0,,,
20,They are trying to get my attention,medical examination therapy,False,0.0,0,0,0,,,
21,He is trying to get my attention,medical examination therapy,False,0.0,0,0,0,,,
22,Playing pretend doctors and nurses,medical examination therapy,True,3.0,2,0,2,"doctor, nurse",,"doctor, nurse"
23,The person is touching me to get my attention,medical examination therapy,False,0.0,0,0,0,,,
24,They are applying pressure to my arm while rubbing up and down,medical examination therapy,True,1.75,1,1,0,pressure,pressure,
