word,synset,definition,synonyms,closest_words,closest_words_with_distances
Comfort,comfort.n.01,a state of being relaxed and feeling no pain,comfortableness,"relief, solace, coziness, convenience, condition, reprieve, diversity, anchorage, health, mode, niche, noise conditions, participation, prepossession, regularization, saturation, silence, situation, ski conditions, nomination","relief (0.077), solace (0.077), coziness (0.077), convenience (0.077), condition (0.091), reprieve (0.143), diversity (0.167), anchorage (0.167), health (0.167), mode (0.167), niche (0.167), noise conditions (0.167), participation (0.167), prepossession (0.167), regularization (0.167), saturation (0.167), silence (0.167), situation (0.167), ski conditions (0.167), nomination (0.167)"
Reassure,reassure.v.01,cause to feel sure; give reassurance to,assure,"calm, lull, compose, pacify, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag","calm (0.200), lull (0.333), compose (0.333), pacify (0.333), entity (0.667), breathe (0.667), act (0.667), be active (0.667), oversleep (0.667), nod (0.667), fall asleep (0.667), go to bed (0.667), get up (0.667), wake (0.667), keep up (0.667), wear (0.667), lie in (0.667), carry to term (0.667), keep down (0.667), gag (0.667)"
Calm,composure.n.01,steadiness of mind under stress,"composure, calmness, equanimity","aplomb, repose, disposition, ataraxia, aloneness, animalism, bloodiness, heart, nervousness, esprit de corps, moodiness, blood, perfectionism, permissiveness, unpermissiveness, good nature, agreeableness, ill nature, disagreeableness, willingness","aplomb (0.067), repose (0.067), disposition (0.077), ataraxia (0.125), aloneness (0.143), animalism (0.143), bloodiness (0.143), heart (0.143), nervousness (0.143), esprit de corps (0.143), moodiness (0.143), blood (0.143), perfectionism (0.143), permissiveness (0.143), unpermissiveness (0.143), good nature (0.143), agreeableness (0.143), ill nature (0.143), disagreeableness (0.143), willingness (0.143)"
Soothe,comfort.v.01,give moral or emotional strength to,"comfort, console, solace","calm, still, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise","calm (0.333), still (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500)"
Support,support.v.01,"give moral or psychological support, aid, or courage to",back_up,"sponsor, patronize, help, promote, undergird, second, entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term","sponsor (0.333), patronize (0.333), help (0.333), promote (0.333), undergird (0.333), second (0.333), entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500)"
Care,care.n.01,the work of providing treatment for or attending to someone or something,"attention, aid, tending","hair care, maternalism, babysitting, pet sitting, dental care, first aid, treatment, incubation, livery, manicure, pedicure, nourishment, nursing, tender loving care, nurturance, personal care, skin care, faith healing, tree surgery, healthcare","hair care (0.059), maternalism (0.059), babysitting (0.059), pet sitting (0.059), dental care (0.059), first aid (0.059), treatment (0.059), incubation (0.059), livery (0.059), manicure (0.059), pedicure (0.059), nourishment (0.059), nursing (0.059), tender loving care (0.059), nurturance (0.059), personal care (0.059), skin care (0.059), faith healing (0.059), tree surgery (0.059), healthcare (0.059)"
Affection,affection.n.01,a positive feeling of liking,"affectionateness, fondness, tenderness, heart, warmness, warmheartedness, philia","attachment, protectiveness, regard, soft spot, feeling, affect, emotion, thing, glow, faintness, soul, passion, sentiment, complex, ambivalence, apathy, desire, sex, pleasure, pain","attachment (0.077), protectiveness (0.077), regard (0.077), soft spot (0.077), feeling (0.091), affect (0.167), emotion (0.167), thing (0.167), glow (0.167), faintness (0.167), soul (0.167), passion (0.167), sentiment (0.167), complex (0.167), ambivalence (0.167), apathy (0.167), desire (0.167), sex (0.167), pleasure (0.167), pain (0.167)"
Cuddle,cuddle.n.01,a close and affectionate (and often prolonged) embrace,"nestle, snuggle","embrace, hug, clasp, chokehold, wrestling hold, grasping, bear hug, nelson, Japanese stranglehold, lock, scissors, stranglehold, toehold, full nelson, half nelson, hammerlock, headlock, control, repression, crowd control","embrace (0.048), hug (0.091), clasp (0.100), chokehold (0.143), wrestling hold (0.143), grasping (0.158), bear hug (0.182), nelson (0.182), Japanese stranglehold (0.182), lock (0.182), scissors (0.182), stranglehold (0.182), toehold (0.182), full nelson (0.217), half nelson (0.217), hammerlock (0.217), headlock (0.217), control (0.222), repression (0.263), crowd control (0.263)"
Hug,hug.n.01,a tight or amorous embrace,"clinch, squeeze","embrace, cuddle, clasp, chokehold, wrestling hold, grasping, bear hug, nelson, Japanese stranglehold, lock, scissors, stranglehold, toehold, full nelson, half nelson, hammerlock, headlock, control, repression, crowd control","embrace (0.048), cuddle (0.091), clasp (0.100), chokehold (0.143), wrestling hold (0.143), grasping (0.158), bear hug (0.182), nelson (0.182), Japanese stranglehold (0.182), lock (0.182), scissors (0.182), stranglehold (0.182), toehold (0.182), full nelson (0.217), half nelson (0.217), hammerlock (0.217), headlock (0.217), control (0.222), repression (0.263), crowd control (0.263)"
Pat,tap.n.08,a light touch or stroke,"tap, dab","touch, contact, hit, dig, kiss, kiss, catch, handling, fingering, grope, palpation, tickle, stroke, tag, lick, grazing, act, rub, contusion, crash","touch (0.077), contact (0.143), hit (0.143), dig (0.143), kiss (0.143), kiss (0.143), catch (0.143), handling (0.143), fingering (0.143), grope (0.143), palpation (0.143), tickle (0.143), stroke (0.143), tag (0.143), lick (0.143), grazing (0.143), act (0.167), rub (0.200), contusion (0.200), crash (0.200)"
Pat,chuck.v.03,"pat or squeeze fondly or playfully, especially under the chin",chuck,"caress, paw, grope, dandle, pet, nuzzle, pet, tickle, stroke, canoodle, gentle, neck, smooch, lick, tongue, entity, breathe, act, be active, oversleep","caress (0.143), paw (0.250), grope (0.250), dandle (0.250), pet (0.250), nuzzle (0.250), pet (0.250), tickle (0.250), stroke (0.333), canoodle (0.333), gentle (0.333), neck (0.333), smooch (0.400), lick (0.429), tongue (0.500), entity (0.714), breathe (0.714), act (0.714), be active (0.714), oversleep (0.714)"
