response_id,response,theme,present,score,count_original,count_synonym,count_closest,examples_original,examples_synonym,examples_closest
1,i have just lost something dear to me,Comfort and emotional support,False,0.75,0,1,0,,have,
2,My mum cames at me and just shows me how much she loves using her touch,Comfort and emotional support,True,1.0,0,0,2,,,"love, touch"
3,we are talking about our upcoming exams and projects,Comfort and emotional support,False,0.0,0,0,0,,,
4,The friend is comforting me.,Comfort and emotional support,True,1.75,1,1,0,comfort,comfort,
5,We are talking,Comfort and emotional support,False,0.0,0,0,0,,,
6,I am sad and my mom tries to comfort me.,Comfort and emotional support,True,2.75,2,1,0,"comfort, sad",comfort,
7,we are having a conversation,Comfort and emotional support,False,0.75,0,1,0,,have,
8,we are both sitting in the kitchen table,Comfort and emotional support,False,0.0,0,0,0,,,
9,The other person is trying to comfort me.,Comfort and emotional support,True,1.75,1,1,0,comfort,comfort,
10,He touching me,Comfort and emotional support,False,0.5,0,0,1,,,touch
11,I received some bad news,Comfort and emotional support,True,2.0,2,0,0,"bad news, bad_news",,
12,I'm talking about something important or hard for me,Comfort and emotional support,False,0.0,0,0,0,,,
13,We are in class and my friend touches me during a lecture to make me laugh,Comfort and emotional support,False,0.5,0,0,1,,,touch
14,Grounding technique,Comfort and emotional support,True,1.75,1,1,0,grounding,ground,
15,Wife is putting her hand on my shoulder.,Comfort and emotional support,False,0.0,0,0,0,,,
16,I was walking down the street and my acquaintance way walking  behind my back,Comfort and emotional support,False,0.5,0,0,1,,,down
17,We are sitting and talking. She touched my knee,Comfort and emotional support,False,0.5,0,0,1,,,touch
18,Maybe i'm describing something that worries me,Comfort and emotional support,True,1.25,0,1,1,,worry,worry
19,we are sitting in the living room,Comfort and emotional support,False,0.0,0,0,0,,,
20,"Next to each other daydreaming, he touches my shoulders like that, have that fantastic feeling once again of someone touching my shoulder.",Comfort and emotional support,True,2.25,0,1,3,,have,"feel, feeling, touch"
21,I've received news that I did not get the job I wanted.,Comfort and emotional support,False,0.0,0,0,0,,,
22,we have a deep conversation about some serious topics like health,Comfort and emotional support,True,1.25,0,1,1,,have,health
23,My friend is comforting me after I just received news of the passing of a loved one.,Comfort and emotional support,True,2.25,1,1,1,comfort,comfort,love
24,I entered the church and a man dressed as a priest approached me and touched my arm like this,Comfort and emotional support,False,0.5,0,0,1,,,touch
