word,synset,definition,synonyms,closest_words,closest_words_with_distances
Pain,pain.n.01,a symptom of some physical hurt or disorder,hurting,"ache, agony, arthralgia, burn, causalgia, colic, chest pain, chiralgia, distress, dysmenorrhea, glossalgia, growing pains, hemorrhoid, keratalgia, labor pain, mastalgia, melagra, meralgia, metralgia, myalgia","ache (0.059), agony (0.059), arthralgia (0.059), burn (0.059), causalgia (0.059), colic (0.059), chest pain (0.059), chiralgia (0.059), distress (0.059), dysmenorrhea (0.059), glossalgia (0.059), growing pains (0.059), hemorrhoid (0.059), keratalgia (0.059), labor pain (0.059), mastalgia (0.059), melagra (0.059), meralgia (0.059), metralgia (0.059), myalgia (0.059)"
Hurt,injury.n.01,any physical damage to the body caused by violence or accident or fracture etc.,"injury, harm, trauma","brain damage, birth trauma, blast trauma, bleeding, blunt trauma, bruise, bump, burn, dislocation, electric shock, fracture, frostbite, intravasation, penetrating trauma, pinch, rupture, sting, strain, whiplash, wale","brain damage (0.053), birth trauma (0.053), blast trauma (0.053), bleeding (0.053), blunt trauma (0.053), bruise (0.053), bump (0.053), burn (0.053), dislocation (0.053), electric shock (0.053), fracture (0.053), frostbite (0.053), intravasation (0.053), penetrating trauma (0.053), pinch (0.053), rupture (0.053), sting (0.053), strain (0.053), whiplash (0.053), wale (0.053)"
Fall,N/A,N/A,N/A,N/A,N/A
Broken,fracture.v.06,fracture a bone of,"fracture, break","injure, trample, concuss, calk, torture, pull, traumatize, maim, twist, subluxate, disable, harm, run down, shoot, knife, skin, bruise, graze, hurt, rack","injure (0.111), trample (0.200), concuss (0.200), calk (0.200), torture (0.200), pull (0.200), traumatize (0.200), maim (0.200), twist (0.200), subluxate (0.200), disable (0.200), harm (0.200), run down (0.200), shoot (0.200), knife (0.200), skin (0.200), bruise (0.200), graze (0.200), hurt (0.250), rack (0.273)"
Injury,injury.n.01,any physical damage to the body caused by violence or accident or fracture etc.,"hurt, harm, trauma","brain damage, birth trauma, blast trauma, bleeding, blunt trauma, bruise, bump, burn, dislocation, electric shock, fracture, frostbite, intravasation, penetrating trauma, pinch, rupture, sting, strain, whiplash, wale","brain damage (0.053), birth trauma (0.053), blast trauma (0.053), bleeding (0.053), blunt trauma (0.053), bruise (0.053), bump (0.053), burn (0.053), dislocation (0.053), electric shock (0.053), fracture (0.053), frostbite (0.053), intravasation (0.053), penetrating trauma (0.053), pinch (0.053), rupture (0.053), sting (0.053), strain (0.053), whiplash (0.053), wale (0.053)"
Tingle,frisson.n.01,an almost pleasurable sensation of fright,"frisson, shiver, chill, quiver, shudder, thrill","fear, alarm, creeps, horror, hysteria, panic, scare, stage fright, apprehension, timidity, intimidation, emotion, swivet, trepidation, foreboding, suspense, cold feet, shyness, diffidence, gloom","fear (0.067), alarm (0.125), creeps (0.125), horror (0.125), hysteria (0.125), panic (0.125), scare (0.125), stage fright (0.125), apprehension (0.125), timidity (0.125), intimidation (0.125), emotion (0.143), swivet (0.176), trepidation (0.176), foreboding (0.176), suspense (0.176), cold feet (0.176), shyness (0.176), diffidence (0.176), gloom (0.176)"
Sore,sensitive.s.01,hurting,"sensitive, raw, tender","entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Tender,tender.a.06,physically untoughened,untoughened,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
Itch,itch.n.03,an irritating cutaneous sensation that produces a desire to scratch,"itchiness, itching","pruritus, cutaneous sensation, pruritus ani, pruritus vulvae, tickle, topognosia, urtication, touch, creepiness, perception, constancy, detection, visual perception, auditory perception, sensation, somesthesia, basic cognitive process, brightness constancy, color constancy, shape constancy","pruritus (0.048), cutaneous sensation (0.053), pruritus ani (0.091), pruritus vulvae (0.091), tickle (0.100), topognosia (0.100), urtication (0.100), touch (0.111), creepiness (0.158), perception (0.176), constancy (0.222), detection (0.222), visual perception (0.222), auditory perception (0.222), sensation (0.222), somesthesia (0.222), basic cognitive process (0.250), brightness constancy (0.263), color constancy (0.263), shape constancy (0.263)"
Stiff,stiff.s.01,not moving or operating freely,N/A,"entity, breathe, act, be active, oversleep, nod, fall asleep, go to bed, get up, wake, keep up, wear, lie in, carry to term, keep down, gag, treat, exercise, exhaust, fracture","entity (0.500), breathe (0.500), act (0.500), be active (0.500), oversleep (0.500), nod (0.500), fall asleep (0.500), go to bed (0.500), get up (0.500), wake (0.500), keep up (0.500), wear (0.500), lie in (0.500), carry to term (0.500), keep down (0.500), gag (0.500), treat (0.500), exercise (0.500), exhaust (0.500), fracture (0.500)"
